Lenght,Eccen,P_black,P_and,Wb_trans,Class
13,1.857,0.407,0.978,21,negative
23,3.286,0.447,1,37,negative
31,4.429,0.304,0.843,50,negative
23,3.286,0.298,0.876,33,negative
10,1.667,0.267,0.55,9,negative
20,3.333,0.258,0.975,24,negative
3,0.6,0.6,0.933,3,negative
10,2,0.36,1,14,negative
21,3,0.286,0.857,31,negative
29,4.143,0.281,0.783,43,negative
13,1.857,0.275,0.824,19,negative
53,5.889,0.218,0.591,84,negative
44,4.889,0.258,0.604,74,negative
10,1.25,0.288,0.813,14,negative
19,2.714,0.263,0.662,26,negative
20,3.333,0.367,0.967,32,negative
7,1,0.306,0.592,7,negative
29,3.222,0.188,0.502,33,negative
4,0.8,0.45,0.75,4,negative
44,7.333,0.265,0.811,57,negative
6,1.2,0.433,0.9,8,negative
43,8.6,0.33,0.819,61,negative
398,49.75,0.279,0.664,521,negative
10,1.667,0.45,0.85,14,negative
65,65,0.646,1,14,positive
39,3.9,0.285,0.546,58,negative
15,1.875,0.467,0.783,25,negative
20,2.5,0.375,0.725,32,negative
19,2.375,0.382,0.724,30,negative
46,5.75,0.34,0.611,70,negative
9,1.125,0.361,0.792,17,negative
48,6,0.341,0.737,67,negative
12,1.714,0.417,0.738,19,negative
7,1.167,0.524,1,11,negative
8,1.143,0.464,0.768,12,negative
9,1.125,0.319,0.639,11,negative
9,1.286,0.429,0.683,11,negative
6,0.667,0.407,0.519,4,positive
25,2.273,0.276,0.629,40,negative
8,1,0.516,1,13,negative
10,1.25,0.35,1,14,negative
36,4,0.349,0.707,62,negative
12,1.5,0.406,0.885,18,negative
17,2.429,0.429,0.908,27,negative
35,3.889,0.362,0.825,58,negative
34,4.857,0.462,0.941,47,negative
28,3.5,0.393,0.759,40,negative
7,1.4,0.543,1,9,negative
12,1.2,0.208,0.583,15,positive
18,0.75,0.139,0.377,29,positive
9,1.125,0.375,0.889,15,negative
10,1.25,0.475,0.888,13,negative
13,1.625,0.442,0.981,23,negative
43,5.375,0.398,0.945,81,negative
29,2.9,0.307,0.855,48,negative
12,1.2,0.333,0.867,22,negative
33,3.3,0.321,0.852,43,negative
12,1.5,0.427,1,25,negative
18,2.25,0.424,0.889,30,negative
25,2.5,0.32,0.648,40,negative
6,0.75,0.458,0.833,8,negative
17,1.214,0.113,0.387,15,positive
22,1,0.107,0.473,29,positive
4,0.25,0.156,0.531,2,positive
271,22.583,0.248,0.559,433,negative
1,0.125,0.875,1,1,positive
21,1.313,0.095,0.515,20,positive
9,1.125,0.458,1,11,negative
43,5.375,0.398,0.939,57,negative
5,0.385,0.123,0.538,1,positive
26,3.25,0.423,0.851,36,negative
16,2,0.477,0.875,25,negative
10,1.25,0.45,0.988,21,negative
13,1.625,0.423,0.99,25,negative
16,2,0.383,0.867,25,negative
37,4.111,0.3,0.694,50,negative
30,3.75,0.45,0.788,47,negative
11,1.571,0.117,0.494,5,positive
8,1.333,0.542,0.938,13,negative
48,1.333,0.143,0.437,69,positive
48,0.873,0.142,0.364,88,positive
271,22.583,0.246,0.615,410,negative
48,0.906,0.181,0.374,98,positive
9,1.125,0.431,0.903,15,negative
25,3.125,0.385,0.615,28,negative
42,3.818,0.292,0.76,70,negative
7,0.875,0.375,1,10,negative
19,2.375,0.388,1,34,negative
35,4.375,0.443,0.996,58,negative
20,2.5,0.506,1,33,negative
13,1.625,0.49,0.933,22,negative
23,2.3,0.361,0.774,34,negative
30,3.75,0.433,1,49,negative
48,1.655,0.116,0.268,32,positive
57,5.182,0.295,0.719,75,negative
59,6.556,0.348,0.829,82,negative
4,0.5,0.469,0.875,3,negative
79,7.9,0.324,0.671,117,negative
36,4.5,0.458,0.958,64,negative
11,1.1,0.473,1,21,negative
4,0.148,0.333,0.667,14,positive
32,2.909,0.301,0.895,56,negative
27,3,0.333,0.918,48,negative
12,1.333,0.37,1,20,negative
17,1.889,0.392,0.935,27,negative
34,3.091,0.324,0.872,49,negative
60,6,0.365,0.788,93,negative
12,1.5,0.417,0.938,20,negative
42,4.2,0.355,0.862,70,negative
9,1.125,0.389,0.736,13,negative
36,4.5,0.458,0.875,65,negative
23,2.556,0.386,0.894,33,negative
13,1.625,0.529,0.798,19,negative
29,2.9,0.383,0.834,45,negative
22,2.75,0.398,0.784,36,negative
19,2.375,0.401,0.98,31,negative
16,2.286,0.446,0.946,25,negative
39,4.333,0.368,0.729,50,negative
16,2.667,0.49,0.938,22,negative
4,0.19,0.31,0.643,7,positive
47,2.474,0.078,0.112,18,positive
271,22.583,0.238,0.571,391,negative
46,6.571,0.177,0.304,7,positive
9,4.5,0.556,0.556,1,positive
46,23,0.511,0.554,1,positive
15,1.364,0.358,0.752,27,negative
94,8.545,0.28,0.675,143,negative
141,17.625,0.371,0.977,227,negative
127,127,0.646,1,6,positive
13,13,0.846,1,2,positive
22,2,0.277,0.731,36,negative
16,1.778,0.375,1,26,negative
15,1.667,0.378,0.963,21,negative
46,4.182,0.283,0.84,79,negative
9,1.125,0.403,0.722,15,negative
19,1.727,0.378,0.9,41,negative
32,2.909,0.335,0.994,52,negative
33,3.3,0.391,0.982,63,negative
4,0.4,0.35,0.9,8,negative
17,1.7,0.382,1,27,negative
6,0.6,0.433,1,10,negative
129,43,0.305,0.377,10,positive
7,1.4,0.2,0.314,1,positive
13,0.619,0.168,0.308,20,negative
9,1.125,0.319,0.667,10,negative
13,0.684,0.215,0.551,35,negative
5,0.385,0.323,0.554,4,positive
91,10.111,0.32,0.773,119,negative
6,0.75,0.5,0.854,8,negative
14,1.75,0.455,1,26,negative
24,3,0.339,0.917,36,negative
116,12.889,0.339,0.88,190,negative
9,0.36,0.187,0.436,17,positive
9,1,0.358,0.914,16,negative
12,1.333,0.389,0.852,18,negative
19,1.9,0.379,0.816,34,negative
18,2,0.414,0.877,29,negative
35,4.375,0.382,1,53,negative
9,1.125,0.431,0.958,15,negative
25,2.5,0.384,0.836,39,negative
42,5.25,0.414,0.955,74,negative
23,2.875,0.359,0.94,40,negative
10,1.25,0.438,0.988,18,negative
4,0.5,0.438,0.594,2,positive
18,3,0.5,0.991,22,negative
9,0.529,0.209,0.497,17,positive
15,1.667,0.407,0.844,24,negative
19,2.375,0.368,0.704,24,negative
4,0.8,0.45,0.65,2,positive
39,3.545,0.317,0.711,55,negative
19,2.375,0.355,0.868,31,negative
4,0.5,0.375,1,8,negative
25,2.5,0.392,0.904,47,negative
27,2.7,0.367,0.744,49,negative
31,3.875,0.427,0.992,49,negative
27,4.5,0.475,0.809,33,negative
4,0.444,0.25,0.75,1,positive
13,2.167,0.551,0.923,17,negative
4,0.333,0.292,1,7,positive
5,0.833,0.367,1,5,positive
32,3.2,0.334,0.797,51,negative
6,0.75,0.375,0.792,6,negative
12,1.5,0.417,0.802,19,negative
33,3.3,0.318,0.758,45,negative
23,2.875,0.337,0.783,32,negative
12,1.5,0.427,0.958,22,negative
18,1.8,0.389,0.817,37,negative
18,1.8,0.306,0.617,22,negative
34,4.25,0.371,0.765,48,negative
35,3.5,0.337,0.711,45,negative
13,2.167,0.103,0.449,2,positive
11,2.75,0.159,0.932,4,positive
20,2.222,0.367,0.9,30,negative
36,4.5,0.406,1,62,negative
30,2.727,0.297,0.6,41,negative
48,0.889,0.143,0.264,54,positive
48,0.906,0.157,0.269,51,positive
48,0.923,0.138,0.248,45,positive
52,4.727,0.28,0.605,78,negative
87,7.909,0.253,0.662,128,negative
59,5.9,0.269,0.69,88,negative
49,6.125,0.406,0.742,88,negative
4,0.148,0.38,0.75,16,positive
26,2.889,0.385,0.85,48,negative
56,6.222,0.339,0.931,77,negative
47,5.222,0.362,0.905,76,negative
9,1,0.346,0.877,10,negative
4,0.444,0.472,0.861,3,negative
25,2.273,0.327,0.84,46,negative
38,4.222,0.371,0.874,68,negative
10,1.25,0.425,0.925,16,negative
14,2.333,0.571,0.976,20,negative
1,0.125,1,1,1,positive
12,1.091,0.455,0.977,27,negative
45,4.091,0.267,0.733,66,negative
43,4.778,0.344,0.982,73,negative
25,2.778,0.378,0.938,40,negative
41,4.1,0.339,0.832,69,negative
30,3,0.427,0.78,46,negative
15,1.875,0.558,1,23,negative
12,1.5,0.448,0.885,22,negative
6,1,0.528,0.917,6,negative
84,7.636,0.279,0.679,110,negative
53,6.625,0.33,0.906,67,negative
56,7,0.424,0.942,91,negative
12,1.5,0.583,0.896,20,negative
47,6.714,0.38,0.757,54,negative
1,0.111,1,1,1,positive
134,12.182,0.286,0.777,179,negative
36,3.6,0.367,0.844,59,negative
79,7.182,0.321,0.713,132,negative
8,1.333,0.646,0.917,10,negative
47,7.833,0.202,0.202,1,positive
19,4.75,0.276,0.382,4,positive
272,24.727,0.275,0.743,392,negative
47,47,1,1,1,positive
86,86,0.93,1,2,positive
17,17,1,1,1,positive
19,19,0.737,1,3,positive
271,22.583,0.259,0.689,423,negative
21,2.625,0.357,0.911,36,negative
30,3.75,0.383,0.983,49,negative
11,1,0.388,0.818,21,negative
240,26.667,0.259,0.714,336,negative
11,1.1,0.273,0.927,19,negative
9,0.9,0.344,0.889,11,negative
29,2.636,0.298,0.752,43,negative
28,3.5,0.411,0.996,48,negative
15,1.875,0.475,0.992,22,negative
7,0.875,0.411,1,12,negative
29,3.625,0.453,0.996,50,negative
8,1,0.391,0.781,9,negative
22,2.444,0.268,0.596,16,negative
18,3,0.537,0.981,22,negative
244,27.111,0.237,0.801,327,negative
23,3.286,0.447,0.764,38,negative
12,1.5,0.427,0.719,15,negative
37,4.625,0.375,0.753,50,negative
9,1.125,0.458,0.986,15,negative
34,4.25,0.426,0.985,63,negative
22,2.2,0.377,0.614,34,negative
25,3.125,0.365,0.73,40,negative
272,30.222,0.269,0.763,353,negative
14,1.75,0.42,0.848,23,negative
16,2,0.375,0.93,23,negative
35,3.889,0.33,0.835,52,negative
15,1.875,0.517,0.867,25,negative
25,3.125,0.405,0.755,41,negative
10,1.25,0.4,0.825,16,negative
12,1.5,0.385,0.802,17,negative
36,4,0.395,0.673,54,negative
4,0.667,0.667,1,2,negative
31,5.167,0.5,1,48,negative
4,0.667,0.625,0.792,3,negative
271,27.1,0.239,0.615,333,negative
272,24.727,0.279,0.681,423,negative
1,0.111,1,1,1,negative
25,3.125,0.37,0.73,36,negative
32,2.909,0.344,0.767,45,negative
21,2.625,0.435,1,37,negative
10,1.25,0.425,0.913,17,negative
31,3.875,0.411,0.742,50,negative
49,6.125,0.441,0.997,91,negative
23,2.875,0.38,0.989,40,negative
18,2.25,0.403,0.931,32,negative
12,1.714,0.464,1,18,negative
27,3,0.358,0.856,47,negative
14,1.75,0.464,0.768,20,negative
12,1.5,0.375,0.792,14,negative
32,4,0.367,0.688,38,negative
25,2.778,0.32,0.707,32,negative
86,7.818,0.297,0.748,144,negative
12,1.5,0.427,0.927,20,negative
17,2.429,0.429,0.748,23,negative
98,8.909,0.276,0.602,138,negative
50,6.25,0.428,0.74,74,negative
28,2.8,0.375,0.657,45,negative
37,4.111,0.333,0.655,50,negative
51,6.375,0.37,0.743,69,negative
6,0.75,0.396,0.813,12,negative
8,1,0.484,1,9,negative
5,0.625,0.45,1,6,negative
44,4,0.308,0.818,74,negative
38,4.75,0.401,0.747,46,negative
25,2.273,0.36,0.909,47,negative
51,5.1,0.308,0.841,83,negative
35,3.889,0.381,0.806,56,negative
12,1.5,0.51,0.844,19,negative
35,4.375,0.418,0.929,49,negative
38,5.429,0.414,0.846,45,negative
25,3.125,0.515,0.815,39,negative
7,0.875,0.375,1,8,negative
4,0.5,0.406,1,6,negative
14,1.75,0.357,0.67,20,negative
16,1.778,0.382,0.743,24,negative
31,2.818,0.323,0.83,53,negative
20,2,0.385,0.87,36,negative
19,2.111,0.392,0.83,29,negative
25,2.5,0.408,0.68,42,negative
16,2,0.453,0.68,20,negative
52,5.778,0.359,0.827,70,negative
36,4.5,0.427,1,60,negative
24,3,0.406,0.818,35,negative
17,2.125,0.463,0.735,22,negative
13,1.625,0.404,0.99,20,negative
53,6.625,0.344,0.884,80,negative
47,4.7,0.338,0.698,69,negative
31,4.429,0.461,0.991,41,negative
5,0.714,0.514,0.8,2,negative
18,3.6,0.689,1,18,negative
4,0.8,0.7,0.8,2,negative
150,13.636,0.186,0.533,149,negative
202,25.25,0.313,0.689,276,negative
272,22.667,0.249,0.602,404,negative
185,16.818,0.295,0.826,310,negative
82,10.25,0.402,0.991,126,negative
13,1.182,0.35,0.783,24,negative
12,1.5,0.479,0.938,20,negative
38,4.75,0.461,0.803,61,negative
10,1.25,0.388,0.913,14,negative
12,1.5,0.448,0.896,21,negative
13,1.3,0.385,0.823,25,negative
16,2,0.398,0.828,19,negative
16,2,0.516,1,26,negative
9,1.125,0.528,0.958,12,negative
4,0.5,0.469,0.719,3,negative
18,2.25,0.361,0.944,24,negative
26,3.714,0.445,0.978,36,negative
7,1.4,0.657,0.886,6,negative
4,0.8,0.65,0.85,4,negative
271,24.636,0.278,0.728,417,negative
240,21.818,0.27,0.634,348,negative
26,3.25,0.37,0.654,32,negative
272,24.727,0.281,0.68,420,negative
17,1.889,0.451,0.941,28,negative
17,2.125,0.346,1,19,negative
48,4.8,0.36,0.863,80,negative
47,5.222,0.336,0.891,80,negative
8,1,0.5,1,11,negative
27,3.375,0.435,0.963,44,negative
20,2.222,0.35,0.728,33,negative
13,1.625,0.394,0.913,18,negative
34,3.778,0.386,0.706,49,negative
15,1.875,0.433,0.975,26,negative
26,3.25,0.394,1,38,negative
67,6.7,0.321,0.81,94,negative
23,2.556,0.362,0.831,39,negative
36,4.5,0.427,0.924,62,negative
12,1.5,0.469,0.948,21,negative
25,2.5,0.392,0.808,39,negative
272,24.727,0.283,0.703,431,negative
33,5.5,0.52,0.995,46,negative
20,2.222,0.361,0.7,28,negative
29,3.222,0.414,0.966,45,negative
19,2.111,0.386,0.912,30,negative
20,2.5,0.456,1,31,negative
18,2.25,0.403,0.896,23,negative
7,0.875,0.411,0.875,11,negative
13,1.625,0.49,0.913,19,negative
34,3.4,0.356,0.744,61,negative
15,1.875,0.5,1,28,negative
261,23.727,0.257,0.644,368,negative
34,4.25,0.419,0.783,57,negative
32,2.909,0.332,0.815,63,negative
12,1.091,0.295,0.818,13,negative
26,2.889,0.316,0.88,40,negative
16,1.778,0.326,0.792,27,negative
36,3.273,0.283,0.79,54,negative
64,7.111,0.345,0.694,87,negative
245,22.273,0.252,0.829,365,negative
21,2.1,0.3,0.81,33,negative
14,2.333,0.571,1,21,negative
36,6,0.509,0.991,55,negative
51,4.636,0.294,0.824,80,negative
73,6.636,0.27,0.844,107,negative
21,2.625,0.411,0.786,31,negative
27,3.375,0.407,1,43,negative
60,5.455,0.32,0.608,105,negative
14,1.75,0.446,1,23,negative
54,4.909,0.258,0.736,77,negative
7,0.875,0.446,0.768,8,negative
91,8.273,0.286,0.597,123,negative
14,1.75,0.446,0.973,22,negative
7,0.875,0.429,1,11,negative
12,1.5,0.458,0.927,20,negative
21,2.625,0.411,0.994,27,negative
18,2.25,0.396,0.882,31,negative
9,1.5,0.556,1,14,negative
24,2.182,0.307,0.795,39,negative
39,4.875,0.388,0.933,55,negative
12,1.5,0.438,1,21,negative
30,3,0.367,0.783,48,negative
8,1,0.516,1,14,negative
12,1.5,0.438,1,22,negative
26,3.25,0.389,1,35,negative
16,2,0.438,0.891,21,negative
52,4.727,0.262,0.858,84,negative
25,2.273,0.335,0.931,36,negative
32,3.2,0.338,0.816,59,negative
26,2.6,0.296,0.942,35,negative
28,2.8,0.293,0.8,41,negative
19,1.9,0.337,0.911,32,negative
18,1.8,0.383,1,30,negative
43,4.778,0.3,0.713,65,negative
7,1.4,0.6,0.886,6,negative
32,5.333,0.417,0.964,38,negative
8,1.333,0.563,0.958,8,negative
213,19.364,0.264,0.698,317,negative
53,5.3,0.306,0.889,88,negative
271,22.583,0.232,0.548,390,negative
96,8.727,0.277,0.68,160,negative
30,3,0.307,0.94,47,negative
76,6.909,0.254,0.688,102,negative
16,2,0.43,0.859,25,negative
34,3.778,0.356,0.925,53,negative
61,5.545,0.294,0.735,89,negative
19,2.375,0.368,1,32,negative
50,5,0.268,0.764,69,negative
27,2.7,0.344,0.804,39,negative
64,6.4,0.189,0.4,57,negative
55,6.875,0.225,0.645,56,negative
8,1,0.344,0.922,12,negative
12,1.5,0.458,0.938,17,negative
69,8.625,0.366,0.897,104,negative
14,1.75,0.42,0.759,23,negative
22,2.75,0.477,1,37,negative
21,2.625,0.357,0.964,29,negative
47,5.875,0.34,0.753,64,negative
15,2.143,0.448,0.829,27,negative
15,1.364,0.352,0.891,28,negative
19,1.9,0.311,1,35,negative
61,6.1,0.305,0.952,94,negative
50,5,0.326,0.868,81,negative
36,6,0.495,0.995,56,negative
22,2.75,0.403,1,35,negative
36,3.6,0.319,0.817,58,negative
26,2.889,0.342,0.821,34,negative
7,0.778,0.365,0.937,13,negative
24,2.667,0.352,0.722,35,negative
22,2.75,0.392,0.915,27,negative
31,3.875,0.415,1,55,negative
50,4.545,0.255,0.56,74,negative
54,6,0.391,0.817,96,negative
12,1.333,0.491,0.889,22,negative
41,4.1,0.312,0.734,66,negative
7,0.7,0.329,0.986,13,negative
52,5.2,0.319,0.802,89,negative
8,1,0.438,1,12,negative
12,1.5,0.396,0.75,16,negative
7,0.875,0.429,1,11,negative
12,1.5,0.406,0.896,21,negative
16,2,0.43,1,27,negative
16,2,0.461,0.93,23,negative
26,3.25,0.399,0.976,43,negative
69,6.9,0.277,0.68,103,negative
122,11.091,0.256,0.656,177,negative
145,14.5,0.278,0.724,212,negative
272,24.727,0.26,0.681,428,negative
49,5.444,0.306,0.773,74,negative
7,0.875,0.411,1,11,negative
18,2,0.352,0.901,31,negative
12,1.5,0.417,0.969,19,negative
42,5.25,0.369,1,67,negative
59,6.556,0.335,0.821,91,negative
54,5.4,0.319,0.824,94,negative
126,11.455,0.273,0.649,180,negative
39,4.875,0.282,0.747,44,negative
44,4,0.314,0.75,79,negative
7,0.875,0.464,1,11,negative
37,3.7,0.324,0.692,65,negative
15,1.875,0.433,0.625,19,negative
32,4,0.352,0.973,50,negative
45,5.625,0.367,0.783,70,negative
41,4.556,0.374,0.881,61,negative
25,2.5,0.268,0.588,35,negative
16,2,0.344,0.742,29,negative
10,1.25,0.375,0.85,16,negative
9,1.8,0.533,0.911,12,negative
261,21.75,0.223,0.578,364,negative
233,21.182,0.245,0.677,349,negative
35,5,0.408,0.755,42,negative
8,1,0.359,0.766,14,negative
31,3.875,0.371,0.782,46,negative
22,2.75,0.392,0.778,30,negative
33,4.125,0.424,0.867,50,negative
40,3.636,0.27,0.618,66,negative
8,1,0.359,0.969,15,negative
12,1.5,0.438,0.927,20,negative
20,2.222,0.361,0.872,35,negative
9,1.125,0.361,0.972,15,negative
15,1.875,0.375,0.85,24,negative
12,1.5,0.396,0.927,23,negative
25,2.5,0.328,0.828,40,negative
10,1.25,0.4,1,17,negative
4,0.5,0.438,0.656,3,negative
12,1.5,0.427,0.875,16,negative
26,2.6,0.3,0.954,49,negative
6,0.6,0.333,0.817,8,negative
57,5.182,0.271,0.577,91,negative
28,3.5,0.406,0.777,44,negative
23,2.3,0.248,0.678,26,negative
32,2.909,0.256,0.534,45,negative
12,1.5,0.385,0.688,19,negative
17,2.125,0.36,0.831,25,negative
42,3.818,0.284,0.654,68,negative
14,1.75,0.375,0.839,20,negative
37,4.625,0.375,0.922,69,negative
26,3.25,0.346,0.909,39,negative
28,3.5,0.46,0.79,40,negative
44,4.4,0.314,0.623,72,negative
12,1.2,0.4,0.933,21,negative
40,4,0.333,0.783,73,negative
14,2.333,0.56,0.929,21,negative
33,4.714,0.385,0.922,40,negative
9,1.125,0.361,0.722,14,negative
43,5.375,0.343,0.977,69,negative
13,1.625,0.413,1,22,negative
33,3,0.278,0.73,48,negative
37,4.625,0.392,0.753,60,negative
29,2.636,0.32,0.618,46,negative
50,6.25,0.405,0.993,84,negative
38,4.75,0.408,0.964,75,negative
26,3.25,0.409,0.933,39,negative
52,5.2,0.306,0.688,81,negative
39,6.5,0.393,0.927,52,negative
7,1.167,0.5,0.976,10,negative
261,21.75,0.207,0.564,358,negative
146,13.273,0.238,0.58,209,negative
19,2.375,0.355,0.954,27,negative
35,3.5,0.326,0.583,51,negative
57,7.125,0.309,0.838,78,negative
272,22.667,0.219,0.589,397,negative
26,2.364,0.262,0.804,42,negative
10,1.111,0.344,0.789,15,negative
28,3.111,0.317,0.976,41,negative
25,2.273,0.298,0.811,40,negative
8,1,0.391,1,10,negative
27,3.375,0.343,0.778,42,negative
8,1,0.406,0.953,12,negative
16,1.6,0.375,0.769,28,negative
19,1.9,0.3,0.905,34,negative
7,0.7,0.357,0.871,12,negative
13,1.3,0.315,0.915,17,negative
7,1.4,0.457,1,11,negative
10,1.667,0.433,0.867,14,negative
13,1.625,0.365,0.808,20,negative
42,5.25,0.375,0.899,61,negative
44,4.4,0.318,0.87,80,negative
26,2.6,0.273,0.815,38,negative
30,3,0.3,0.73,42,negative
27,2.455,0.303,0.596,37,negative
52,6.5,0.325,0.877,77,negative
76,9.5,0.314,0.711,102,negative
15,1.5,0.36,0.813,26,negative
18,1.8,0.294,0.911,28,negative
15,2.143,0.4,0.752,23,negative
35,5,0.339,0.833,43,negative
26,3.714,0.396,1,36,negative
8,1.143,0.429,0.964,13,negative
51,6.375,0.306,0.637,64,negative
114,12.667,0.272,0.741,150,negative
9,1.125,0.417,1,13,negative
29,3.625,0.345,0.681,40,negative
105,11.667,0.236,0.579,117,negative
101,11.222,0.256,0.688,136,negative
64,8,0.385,0.912,102,negative
32,3.2,0.306,0.788,58,negative
14,2,0.378,0.969,19,negative
61,6.1,0.29,0.657,82,negative
25,25,1,1,1,negative
21,3.5,0.246,0.254,1,positive
109,15.571,0.283,0.543,112,negative
221,36.833,0.268,0.536,183,negative
146,24.333,0.325,0.691,156,negative
10,2,0.5,0.84,12,negative
16,2,0.398,0.695,20,positive
19,2.375,0.388,0.664,27,negative
46,4.6,0.278,0.583,77,negative
25,3.125,0.355,0.78,41,negative
30,3.75,0.354,0.75,42,negative
14,1.75,0.482,0.759,16,negative
5,0.625,0.35,0.6,4,negative
34,0.5,0.224,0.526,213,positive
30,0.448,0.169,0.46,150,positive
12,2,0.486,0.944,16,negative
7,1,0.286,0.571,4,negative
7,1,0.265,0.612,4,negative
12,2.4,0.6,0.9,12,negative
261,23.727,0.233,0.637,381,negative
154,14,0.187,0.522,163,negative
155,15.5,0.275,0.803,231,negative
39,1.95,0.14,0.405,34,positive
17,2.833,0.137,0.627,5,positive
24,3,0.417,0.953,42,negative
41,4.1,0.276,0.693,70,negative
15,1.5,0.273,0.947,29,negative
12,1.2,0.35,0.867,18,negative
55,5.5,0.295,0.756,82,negative
6,0.857,0.405,0.929,9,negative
19,2.714,0.398,0.88,29,negative
8,1.143,0.482,1,12,negative
7,1,0.592,0.959,12,negative
29,3.625,0.444,1,48,negative
53,4.818,0.249,0.734,75,negative
19,2.111,0.298,0.737,19,negative
13,1.3,0.285,0.885,23,negative
144,14.4,0.256,0.625,205,negative
12,1.714,0.476,0.81,19,negative
2,0.286,0.857,0.857,1,negative
54,4.909,0.273,0.781,74,negative
51,5.1,0.28,0.814,86,negative
7,0.7,0.314,0.857,12,negative
37,3.7,0.327,0.954,66,negative
11,1.1,0.409,0.955,18,negative
6,3,0.583,0.917,1,negative
43,5.375,0.387,0.762,69,negative
28,3.5,0.442,0.795,40,negative
3,1,0.778,0.778,1,negative
7,7,1,1,1,negative
2,0.4,0.7,0.7,1,negative
2,0.5,0.875,0.875,1,negative
3,0.75,0.667,0.917,3,negative
2,0.286,0.714,0.714,1,negative
72,7.2,0.292,0.667,116,negative
150,15,0.252,0.585,183,negative
9,0.9,0.333,0.878,12,negative
34,3.4,0.321,0.853,54,negative
10,1,0.35,0.89,18,negative
9,1.125,0.375,0.681,16,negative
15,2.143,0.438,0.895,20,negative
30,3,0.33,0.843,52,negative
20,2.222,0.322,0.717,27,negative
13,1.444,0.368,1,16,negative
10,1.429,0.386,0.914,13,negative
20,2.857,0.4,1,30,negative
13,2.167,0.436,0.756,15,negative
15,3,0.507,0.787,12,negative
12,2.4,0.467,0.6,6,negative
13,2.6,0.462,0.677,7,negative
49,8.167,0.32,0.527,32,negative
17,2.833,0.451,0.745,18,negative
41,4.556,0.336,0.694,65,negative
14,1.556,0.278,1,17,negative
4,0.5,0.469,0.719,4,negative
39,4.875,0.378,0.962,72,negative
23,2.3,0.27,0.648,31,negative
16,2,0.328,0.961,22,negative
39,4.875,0.362,0.881,65,negative
20,4,0.47,0.73,20,negative
10,2.5,0.5,0.9,5,negative
10,2.5,0.6,0.8,6,negative
13,2.6,0.554,0.8,14,negative
14,2.8,0.329,0.5,9,negative
20,2.857,0.421,0.829,24,negative
17,3.4,0.576,0.953,21,negative
145,14.5,0.268,0.747,213,negative
62,6.2,0.265,0.656,75,negative
16,2,0.328,0.969,22,negative
24,3,0.297,0.865,31,negative
9,1.5,0.37,0.722,10,negative
261,26.1,0.259,0.767,388,negative
20,2.5,0.394,0.863,30,negative
39,3.9,0.295,0.908,55,negative
61,6.1,0.333,0.954,110,negative
14,7,0.464,0.536,1,positive
42,4.667,0.312,0.889,60,negative
20,0.541,0.131,0.193,23,positive
32,4,0.375,0.801,47,negative
14,2.333,0.512,1,14,negative
23,2.875,0.348,0.723,32,negative
25,0.735,0.256,0.534,106,positive
27,0.794,0.219,0.554,65,positive
43,1.194,0.117,0.183,59,positive
40,4.444,0.344,0.683,60,negative
14,1.75,0.411,0.991,18,negative
32,4,0.395,0.773,48,negative
31,3.1,0.316,0.752,59,negative
33,4.125,0.375,0.981,62,negative
20,2.5,0.406,0.906,35,negative
12,1.5,0.406,0.917,25,negative
29,1.813,0.144,0.496,26,positive
34,4.857,0.403,0.849,53,negative
109,9.909,0.234,0.62,146,negative
103,10.3,0.25,0.61,146,negative
91,10.111,0.161,0.44,71,negative
9,1,0.358,0.728,13,negative
12,1.5,0.375,0.927,20,negative
40,5,0.35,0.906,62,negative
57,5.7,0.326,0.695,94,negative
28,2.8,0.343,0.975,45,negative
8,0.8,0.313,0.9,16,negative
15,1.5,0.313,0.78,21,negative
3,0.5,0.556,0.556,1,negative
20,2.857,0.493,0.979,38,negative
20,2.857,0.457,0.857,26,negative
8,1.333,0.604,0.896,9,negative
3,0.6,0.6,0.6,1,negative
2,0.222,0.611,0.722,1,positive
2,0.4,0.7,0.7,1,negative
221,20.091,0.25,0.544,312,negative
35,5,0.445,0.771,44,negative
33,3.3,0.352,0.745,56,negative
7,0.875,0.5,0.786,9,negative
12,1.5,0.531,0.813,18,negative
16,2,0.422,0.852,30,negative
20,2.857,0.429,0.993,30,negative
4,0.571,0.5,1,6,negative
35,5,0.494,1,55,negative
33,3.667,0.357,0.63,43,negative
30,5,0.45,0.833,26,negative
26,4.333,0.519,0.955,36,negative
26,5.2,0.492,0.785,27,negative
22,4.4,0.536,0.909,27,negative
15,2.5,0.467,0.711,13,negative
19,3.8,0.505,0.8,22,negative
37,6.167,0.392,0.757,39,negative
11,2.2,0.6,0.818,12,negative
13,2.6,0.554,0.8,12,negative
14,2.8,0.443,0.743,14,negative
25,2.778,0.329,0.502,29,negative
10,1.25,0.35,0.763,16,negative
54,4.909,0.316,0.697,91,negative
29,2.9,0.303,0.731,42,negative
16,1.6,0.288,0.744,21,negative
39,3.9,0.344,0.59,48,negative
14,1.75,0.482,0.679,18,negative
12,1.5,0.458,0.667,12,negative
35,4.375,0.425,0.843,57,negative
9,1.125,0.361,0.819,15,negative
22,2.75,0.295,0.483,20,negative
36,4.5,0.299,0.531,39,negative
16,2.667,0.281,0.542,11,negative
31,3.875,0.351,0.839,44,negative
45,5.625,0.297,0.564,57,negative
23,4.6,0.504,0.783,24,negative
34,4.25,0.36,0.717,52,negative
