Lenght,P_and,Class
109,0.595,negative
27,0.496,negative
76,0.51,negative
18,0.778,negative
240,0.538,negative
51,0.831,negative
231,0.569,negative
231,0.64,negative
19,0.921,negative
70,0.417,negative
203,0.859,negative
22,0.513,negative
161,0.521,negative
24,0.792,negative
158,0.418,negative
92,0.694,negative
48,0.965,negative
95,0.645,negative
227,0.509,negative
243,0.48,negative
242,0.409,negative
192,0.579,negative
98,0.491,negative
22,0.765,negative
152,0.623,negative
11,0.433,negative
11,0.647,negative
141,0.645,negative
46,0.877,negative
229,0.484,negative
113,0.759,negative
69,0.632,negative
34,0.594,negative
58,0.745,negative
36,0.789,negative
46,0.804,negative
135,0.753,negative
118,0.497,negative
5,0.8,negative
145,0.658,negative
91,0.535,negative
177,0.498,negative
22,0.406,negative
150,0.579,negative
24,0.838,negative
117,0.642,negative
130,0.65,negative
239,0.476,negative
110,0.447,negative
21,0.444,positive
47,0.45,negative
25,0.71,negative
104,0.862,negative
31,0.944,negative
192,0.385,negative
162,0.235,negative
208,0.491,negative
22,0.757,negative
189,0.515,negative
92,0.604,negative
111,0.883,negative
24,0.75,negative
231,0.543,negative
185,0.358,negative
242,0.611,negative
48,0.613,negative
60,0.822,negative
211,0.653,negative
17,0.741,negative
198,0.332,positive
223,0.664,negative
67,0.548,negative
249,0.958,negative
23,0.621,negative
169,0.619,negative
100,0.637,negative
71,0.958,negative
210,0.483,negative
44,0.614,negative
97,0.461,negative
107,0.91,negative
34,0.156,negative
201,0.567,negative
213,0.746,negative
28,0.589,negative
98,0.608,negative
133,0.559,negative
72,0.651,negative
159,0.368,negative
245,0.523,negative
183,0.612,negative
541,0.747,positive
153,0.848,negative
58,0.893,negative
1,1,positive
192,0.589,negative
12,0.833,negative
284,0.698,negative
225,0.741,negative
325,0.692,negative
333,0.671,negative
197,0.699,negative
58,0.669,negative
323,0.557,negative
24,0.708,negative
37,0.954,negative
184,0.798,negative
44,0.677,negative
330,0.671,negative
33,0.677,negative
292,0.649,negative
50,0.74,negative
1,1,positive
93,0.763,negative
94,0.934,negative
284,0.553,negative
94,0.874,negative
24,0.935,negative
94,0.845,negative
167,0.752,negative
94,0.798,negative
95,0.979,negative
61,0.794,negative
95,0.667,negative
93,0.711,negative
288,0.564,negative
93,1,negative
18,1,negative
323,0.676,negative
95,0.787,negative
97,0.852,negative
293,0.596,negative
96,0.738,negative
96,0.925,negative
96,0.703,negative
96,0.74,negative
24,0.809,negative
239,0.615,negative
63,0.927,negative
298,0.791,negative
96,0.703,negative
96,0.817,negative
56,0.791,negative
94,0.945,negative
330,0.771,negative
96,0.644,negative
95,0.784,negative
319,0.674,negative
96,0.811,negative
82,0.802,negative
96,0.755,negative
24,0.872,negative
285,0.765,negative
96,0.939,negative
96,0.795,negative
1,1,positive
305,0.73,negative
96,0.856,negative
94,0.751,negative
19,0.632,negative
95,0.768,negative
331,0.69,negative
95,0.933,negative
96,0.668,negative
282,0.701,negative
97,0.703,negative
183,0.6,negative
97,0.794,negative
97,0.72,negative
93,0.962,negative
94,0.713,negative
97,0.791,negative
24,0.948,negative
91,0.59,negative
97,0.831,negative
97,0.701,negative
242,0.614,negative
96,0.753,negative
96,0.668,negative
140,0.886,negative
96,0.842,negative
303,0.669,negative
96,0.838,negative
96,0.797,negative
284,0.709,negative
69,0.96,negative
80,0.694,negative
96,0.717,negative
96,0.901,negative
96,0.575,negative
99,0.739,negative
96,0.724,negative
96,0.878,negative
1,1,positive
94,0.862,negative
92,0.522,negative
39,0.936,negative
39,0.826,negative
39,0.656,negative
286,0.226,positive
285,0.165,positive
73,0.445,positive
66,0.591,positive
50,0.487,positive
79,0.345,positive
1,1,positive
108,0.826,positive
32,0.5,negative
18,0.759,negative
9,0.395,negative
57,0.678,negative
20,1,positive
252,0.095,positive
31,0.811,negative
38,0.731,negative
5,0.221,positive
151,0.566,negative
88,0.49,negative
160,0.8,negative
92,0.907,negative
127,0.679,negative
1,1,positive
75,0.662,negative
119,0.872,negative
4,0.714,negative
41,1,negative
40,1,negative
42,1,negative
59,0.802,negative
1,1,positive
17,0.804,negative
120,0.748,negative
59,1,negative
125,0.735,negative
111,0.571,negative
164,0.838,negative
8,0.75,negative
40,1,negative
35,1,negative
31,0.834,negative
211,0.707,negative
93,0.734,negative
129,0.823,negative
7,0.952,negative
12,0.607,negative
88,0.726,negative
33,1,negative
63,1,positive
48,0.924,negative
38,0.91,negative
36,0.98,negative
76,0.859,negative
2,0.8,negative
56,0.401,negative
105,0.705,negative
53,0.245,negative
95,1,negative
75,0.698,negative
76,1,positive
20,0.613,negative
31,0.783,negative
98,0.645,negative
102,0.56,negative
21,0.738,negative
12,0.524,negative
69,0.879,negative
102,1,positive
77,0.731,negative
22,0.79,negative
62,0.963,negative
10,0.65,negative
7,0.738,negative
20,0.48,negative
91,1,negative
29,1,negative
17,0.739,negative
9,0.796,negative
56,0.471,negative
44,0.778,negative
128,0.764,positive
47,0.511,negative
22,1,negative
31,0.565,negative
8,0.875,negative
47,1,negative
44,0.795,negative
39,0.705,negative
8,0.625,negative
32,0.715,negative
50,0.63,negative
8,0.768,negative
77,1,negative
47,1,negative
42,1,negative
59,0.685,negative
82,0.303,negative
12,0.467,negative
58,0.259,negative
72,0.494,negative
45,1,negative
90,0.77,negative
2,0.714,positive
280,0.786,positive
296,0.285,negative
117,0.698,negative
46,0.776,negative
126,0.573,negative
55,0.661,negative
158,0.552,negative
30,0.871,negative
49,0.739,negative
118,0.869,negative
18,0.926,negative
20,0.983,negative
75,0.71,negative
17,0.86,negative
106,0.593,negative
6,0.857,negative
28,0.781,negative
30,0.821,negative
70,0.976,negative
31,0.88,negative
54,0.78,negative
15,0.733,negative
180,0.724,negative
34,0.916,negative
34,1,negative
65,0.895,negative
98,0.662,negative
138,0.609,negative
7,1,negative
104,0.258,negative
261,0.718,negative
98,0.712,negative
253,0.66,negative
80,0.769,negative
180,0.794,negative
65,0.925,negative
285,0.598,negative
92,0.532,negative
222,0.711,negative
28,0.847,negative
26,0.863,negative
32,0.613,negative
52,0.626,negative
21,0.85,negative
6,1,negative
13,0.692,negative
19,0.916,negative
16,0.938,negative
2,0.533,positive
85,0.725,negative
28,0.821,negative
61,0.667,negative
2,0.7,positive
18,0.873,negative
59,0.881,negative
45,0.881,negative
27,0.688,negative
24,0.568,negative
22,0.403,negative
34,0.273,negative
42,0.838,negative
6,0.867,negative
15,0.347,negative
11,0.836,negative
35,0.804,negative
40,0.682,negative
85,0.687,negative
27,0.622,negative
12,1,negative
15,0.571,negative
14,0.939,negative
37,0.676,negative
40,0.621,negative
39,0.48,negative
69,0.643,negative
87,0.856,negative
40,0.832,negative
46,0.833,negative
17,0.933,negative
96,0.688,negative
15,0.61,negative
24,0.808,negative
39,0.712,negative
8,1,negative
42,0.756,negative
29,0.779,negative
28,0.75,negative
10,0.771,negative
6,1,negative
13,0.892,negative
18,1,negative
25,0.928,negative
39,0.903,negative
7,0.857,negative
108,0.807,negative
34,0.761,negative
110,0.603,negative
132,0.588,negative
427,0.57,positive
110,0.556,positive
552,0.816,positive
186,0.654,negative
7,0.857,negative
20,0.672,negative
227,0.648,negative
39,0.585,negative
20,0.57,negative
12,0.439,negative
112,0.879,negative
18,0.655,negative
119,0.842,negative
283,1,positive
184,1,positive
16,1,positive
60,0.85,negative
367,0.77,negative
17,0.895,negative
22,0.814,negative
550,0.375,positive
370,0.648,negative
412,0.671,negative
117,0.714,negative
348,0.743,negative
390,0.735,negative
302,0.795,negative
227,0.97,negative
17,0.729,negative
23,0.787,negative
235,1,positive
58,1,positive
12,1,positive
69,1,positive
107,1,positive
440,0.626,negative
311,0.781,negative
18,0.744,negative
22,0.669,negative
550,0.401,positive
94,1,negative
422,0.58,negative
311,0.759,negative
18,0.872,negative
23,0.891,negative
463,0.382,positive
85,1,positive
409,0.578,negative
337,0.751,negative
423,0.762,negative
18,0.901,negative
23,0.735,negative
8,1,positive
544,0.406,positive
357,0.823,negative
188,0.71,negative
377,0.746,negative
274,0.817,negative
20,0.795,negative
22,0.909,negative
19,0.553,negative
17,1,positive
206,1,positive
325,0.537,positive
348,0.676,negative
218,0.737,negative
207,0.699,negative
245,0.797,negative
20,0.91,negative
23,0.891,negative
8,1,positive
17,1,positive
277,1,positive
199,1,positive
44,0.712,negative
553,0.884,positive
67,0.529,negative
259,0.978,positive
5,0.72,negative
342,0.466,negative
109,0.864,negative
65,0.908,negative
79,0.975,negative
57,0.952,negative
34,1,positive
18,0.437,negative
137,0.693,negative
311,0.582,negative
96,0.778,negative
158,0.952,negative
299,0.705,negative
128,0.745,negative
319,0.692,negative
59,0.672,negative
41,0.885,negative
105,0.105,positive
100,0.505,positive
1,1,positive
52,0.529,positive
161,1,positive
167,0.276,positive
181,0.661,negative
302,0.73,negative
295,0.559,negative
42,0.813,negative
263,0.589,negative
309,0.644,negative
108,0.686,negative
43,0.983,negative
35,0.849,negative
22,1,negative
13,0.487,negative
134,0.68,negative
48,0.39,positive
321,0.553,negative
112,0.786,negative
65,0.798,negative
178,0.795,negative
268,0.534,negative
75,0.758,negative
231,0.637,negative
8,0.9,negative
183,0.76,negative
85,0.869,negative
70,0.971,negative
71,1,positive
20,1,positive
172,1,positive
92,0.896,negative
95,0.929,negative
86,0.958,negative
9,0.889,negative
60,0.886,negative
90,0.738,negative
42,0.738,negative
106,1,positive
288,1,positive
74,0.83,negative
263,0.66,negative
19,0.779,negative
106,0.835,negative
346,0.581,negative
135,0.736,negative
346,0.716,negative
135,0.528,negative
326,0.716,negative
135,0.732,negative
340,0.736,negative
123,0.674,negative
346,0.749,negative
343,0.772,negative
19,0.781,negative
91,0.816,negative
346,0.731,negative
346,0.66,negative
346,0.707,negative
342,0.622,negative
63,0.914,negative
89,0.717,negative
42,0.714,negative
12,0.583,negative
10,0.65,negative
19,0.713,negative
30,0.597,negative
18,0.583,negative
16,0.572,negative
32,0.555,negative
82,0.39,negative
45,0.54,negative
28,0.912,negative
8,1,positive
95,1,positive
67,1,positive
10,1,positive
21,0.827,negative
32,0.496,negative
45,0.722,negative
28,0.496,negative
42,0.976,negative
22,0.79,negative
341,0.998,positive
41,0.616,negative
4,0.5,negative
10,0.743,negative
155,0.639,negative
10,0.91,negative
138,1,positive
180,0.611,negative
10,0.533,negative
342,0.996,positive
67,0.588,negative
82,0.832,negative
153,0.611,negative
11,0.876,negative
38,0.561,negative
126,1,positive
33,0.929,negative
7,0.603,negative
29,0.686,negative
155,0.964,negative
115,0.572,negative
31,0.606,negative
36,0.672,negative
9,0.825,negative
13,0.923,negative
342,0.897,positive
39,0.487,negative
28,0.592,negative
33,0.793,negative
1,1,positive
303,0.268,negative
5,0.727,negative
303,0.2,negative
10,0.927,negative
11,0.876,negative
121,0.664,negative
25,1,positive
24,1,positive
21,1,positive
22,1,positive
102,0.709,negative
11,0.802,negative
196,1,positive
90,0.882,negative
10,0.91,negative
1,1,positive
1,1,positive
98,0.768,negative
12,0.875,negative
199,0.508,positive
104,0.824,negative
84,0.623,negative
41,0.968,negative
137,0.652,negative
11,0.868,negative
159,1,positive
64,0.558,negative
21,0.933,negative
12,0.674,negative
199,1,positive
57,0.831,negative
52,0.911,negative
127,0.87,negative
96,0.836,negative
69,0.839,negative
5,0.817,negative
1,1,positive
231,0.882,positive
141,0.67,negative
12,0.841,negative
187,0.477,negative
11,0.818,negative
70,1,positive
14,1,positive
183,0.682,negative
151,0.941,negative
170,0.709,negative
156,0.71,negative
115,0.758,negative
1,1,positive
1,1,positive
87,0.764,negative
11,0.845,negative
26,0.596,negative
70,1,positive
9,1,positive
125,0.734,negative
57,0.91,negative
208,0.555,negative
47,0.991,negative
12,0.75,negative
65,0.662,negative
45,0.6,negative
131,1,positive
165,0.695,negative
168,0.723,negative
147,0.607,negative
12,0.818,negative
119,0.678,negative
62,0.565,positive
147,0.761,negative
193,0.683,negative
20,1,positive
87,1,positive
279,1,positive
16,1,positive
524,0.603,positive
4,0.929,negative
95,0.911,negative
41,0.801,negative
