Lenght,Eccen,P_black,P_and,Class
32,2.909,0.344,0.767,negative
21,2.625,0.435,1,negative
10,1.25,0.425,0.913,negative
31,3.875,0.411,0.742,negative
49,6.125,0.441,0.997,negative
23,2.875,0.38,0.989,negative
18,2.25,0.403,0.931,negative
12,1.714,0.464,1,negative
27,3,0.358,0.856,negative
14,1.75,0.464,0.768,negative
12,1.5,0.375,0.792,negative
32,4,0.367,0.688,negative
25,2.778,0.32,0.707,negative
86,7.818,0.297,0.748,negative
12,1.5,0.427,0.927,negative
17,2.429,0.429,0.748,negative
98,8.909,0.276,0.602,negative
50,6.25,0.428,0.74,negative
28,2.8,0.375,0.657,negative
37,4.111,0.333,0.655,negative
51,6.375,0.37,0.743,negative
6,0.75,0.396,0.813,negative
8,1,0.484,1,negative
5,0.625,0.45,1,negative
44,4,0.308,0.818,negative
38,4.75,0.401,0.747,negative
25,2.273,0.36,0.909,negative
51,5.1,0.308,0.841,negative
35,3.889,0.381,0.806,negative
12,1.5,0.51,0.844,negative
35,4.375,0.418,0.929,negative
38,5.429,0.414,0.846,negative
25,3.125,0.515,0.815,negative
7,0.875,0.375,1,negative
4,0.5,0.406,1,negative
14,1.75,0.357,0.67,negative
16,1.778,0.382,0.743,negative
31,2.818,0.323,0.83,negative
20,2,0.385,0.87,negative
19,2.111,0.392,0.83,negative
25,2.5,0.408,0.68,negative
16,2,0.453,0.68,negative
52,5.778,0.359,0.827,negative
36,4.5,0.427,1,negative
24,3,0.406,0.818,negative
17,2.125,0.463,0.735,negative
13,1.625,0.404,0.99,negative
53,6.625,0.344,0.884,negative
47,4.7,0.338,0.698,negative
31,4.429,0.461,0.991,negative
5,0.714,0.514,0.8,negative
18,3.6,0.689,1,negative
4,0.8,0.7,0.8,negative
150,13.636,0.186,0.533,negative
202,25.25,0.313,0.689,negative
272,22.667,0.249,0.602,negative
185,16.818,0.295,0.826,negative
82,10.25,0.402,0.991,negative
13,1.182,0.35,0.783,negative
12,1.5,0.479,0.938,negative
38,4.75,0.461,0.803,negative
10,1.25,0.388,0.913,negative
12,1.5,0.448,0.896,negative
13,1.3,0.385,0.823,negative
16,2,0.398,0.828,negative
16,2,0.516,1,negative
9,1.125,0.528,0.958,negative
4,0.5,0.469,0.719,negative
18,2.25,0.361,0.944,negative
26,3.714,0.445,0.978,negative
7,1.4,0.657,0.886,negative
4,0.8,0.65,0.85,negative
271,24.636,0.278,0.728,negative
240,21.818,0.27,0.634,negative
26,3.25,0.37,0.654,negative
272,24.727,0.281,0.68,negative
17,1.889,0.451,0.941,negative
17,2.125,0.346,1,negative
48,4.8,0.36,0.863,negative
47,5.222,0.336,0.891,negative
8,1,0.5,1,negative
27,3.375,0.435,0.963,negative
20,2.222,0.35,0.728,negative
13,1.625,0.394,0.913,negative
34,3.778,0.386,0.706,negative
15,1.875,0.433,0.975,negative
26,3.25,0.394,1,negative
67,6.7,0.321,0.81,negative
23,2.556,0.362,0.831,negative
36,4.5,0.427,0.924,negative
12,1.5,0.469,0.948,negative
25,2.5,0.392,0.808,negative
272,24.727,0.283,0.703,negative
33,5.5,0.52,0.995,negative
20,2.222,0.361,0.7,negative
29,3.222,0.414,0.966,negative
19,2.111,0.386,0.912,negative
20,2.5,0.456,1,negative
18,2.25,0.403,0.896,negative
7,0.875,0.411,0.875,negative
13,1.625,0.49,0.913,negative
34,3.4,0.356,0.744,negative
15,1.875,0.5,1,negative
261,23.727,0.257,0.644,negative
34,4.25,0.419,0.783,negative
32,2.909,0.332,0.815,negative
12,1.091,0.295,0.818,negative
26,2.889,0.316,0.88,negative
16,1.778,0.326,0.792,negative
36,3.273,0.283,0.79,negative
64,7.111,0.345,0.694,negative
245,22.273,0.252,0.829,negative
21,2.1,0.3,0.81,negative
14,2.333,0.571,1,negative
36,6,0.509,0.991,negative
51,4.636,0.294,0.824,negative
73,6.636,0.27,0.844,negative
21,2.625,0.411,0.786,negative
27,3.375,0.407,1,negative
60,5.455,0.32,0.608,negative
14,1.75,0.446,1,negative
54,4.909,0.258,0.736,negative
7,0.875,0.446,0.768,negative
91,8.273,0.286,0.597,negative
14,1.75,0.446,0.973,negative
7,0.875,0.429,1,negative
12,1.5,0.458,0.927,negative
21,2.625,0.411,0.994,negative
18,2.25,0.396,0.882,negative
9,1.5,0.556,1,negative
24,2.182,0.307,0.795,negative
39,4.875,0.388,0.933,negative
12,1.5,0.438,1,negative
30,3,0.367,0.783,negative
8,1,0.516,1,negative
12,1.5,0.438,1,negative
26,3.25,0.389,1,negative
16,2,0.438,0.891,negative
52,4.727,0.262,0.858,negative
25,2.273,0.335,0.931,negative
32,3.2,0.338,0.816,negative
26,2.6,0.296,0.942,negative
28,2.8,0.293,0.8,negative
19,1.9,0.337,0.911,negative
18,1.8,0.383,1,negative
43,4.778,0.3,0.713,negative
7,1.4,0.6,0.886,negative
32,5.333,0.417,0.964,negative
8,1.333,0.563,0.958,negative
213,19.364,0.264,0.698,negative
53,5.3,0.306,0.889,negative
271,22.583,0.232,0.548,negative
96,8.727,0.277,0.68,negative
30,3,0.307,0.94,negative
76,6.909,0.254,0.688,negative
16,2,0.43,0.859,negative
34,3.778,0.356,0.925,negative
61,5.545,0.294,0.735,negative
19,2.375,0.368,1,negative
50,5,0.268,0.764,negative
27,2.7,0.344,0.804,negative
64,6.4,0.189,0.4,negative
55,6.875,0.225,0.645,negative
8,1,0.344,0.922,negative
12,1.5,0.458,0.938,negative
69,8.625,0.366,0.897,negative
14,1.75,0.42,0.759,negative
22,2.75,0.477,1,negative
21,2.625,0.357,0.964,negative
47,5.875,0.34,0.753,negative
15,2.143,0.448,0.829,negative
15,1.364,0.352,0.891,negative
19,1.9,0.311,1,negative
61,6.1,0.305,0.952,negative
50,5,0.326,0.868,negative
36,6,0.495,0.995,negative
22,2.75,0.403,1,negative
36,3.6,0.319,0.817,negative
26,2.889,0.342,0.821,negative
7,0.778,0.365,0.937,negative
24,2.667,0.352,0.722,negative
22,2.75,0.392,0.915,negative
31,3.875,0.415,1,negative
50,4.545,0.255,0.56,negative
54,6,0.391,0.817,negative
12,1.333,0.491,0.889,negative
41,4.1,0.312,0.734,negative
7,0.7,0.329,0.986,negative
52,5.2,0.319,0.802,negative
8,1,0.438,1,negative
12,1.5,0.396,0.75,negative
7,0.875,0.429,1,negative
12,1.5,0.406,0.896,negative
16,2,0.43,1,negative
16,2,0.461,0.93,negative
26,3.25,0.399,0.976,negative
69,6.9,0.277,0.68,negative
122,11.091,0.256,0.656,negative
145,14.5,0.278,0.724,negative
272,24.727,0.26,0.681,negative
49,5.444,0.306,0.773,negative
7,0.875,0.411,1,negative
18,2,0.352,0.901,negative
12,1.5,0.417,0.969,negative
42,5.25,0.369,1,negative
59,6.556,0.335,0.821,negative
54,5.4,0.319,0.824,negative
126,11.455,0.273,0.649,negative
39,4.875,0.282,0.747,negative
44,4,0.314,0.75,negative
7,0.875,0.464,1,negative
37,3.7,0.324,0.692,negative
15,1.875,0.433,0.625,negative
32,4,0.352,0.973,negative
45,5.625,0.367,0.783,negative
41,4.556,0.374,0.881,negative
25,2.5,0.268,0.588,negative
16,2,0.344,0.742,negative
10,1.25,0.375,0.85,negative
9,1.8,0.533,0.911,negative
261,21.75,0.223,0.578,negative
233,21.182,0.245,0.677,negative
35,5,0.408,0.755,negative
8,1,0.359,0.766,negative
31,3.875,0.371,0.782,negative
22,2.75,0.392,0.778,negative
33,4.125,0.424,0.867,negative
40,3.636,0.27,0.618,negative
8,1,0.359,0.969,negative
12,1.5,0.438,0.927,negative
20,2.222,0.361,0.872,negative
9,1.125,0.361,0.972,negative
15,1.875,0.375,0.85,negative
12,1.5,0.396,0.927,negative
25,2.5,0.328,0.828,negative
10,1.25,0.4,1,negative
4,0.5,0.438,0.656,negative
12,1.5,0.427,0.875,negative
26,2.6,0.3,0.954,negative
6,0.6,0.333,0.817,negative
57,5.182,0.271,0.577,negative
28,3.5,0.406,0.777,negative
23,2.3,0.248,0.678,negative
32,2.909,0.256,0.534,negative
12,1.5,0.385,0.688,negative
17,2.125,0.36,0.831,negative
42,3.818,0.284,0.654,negative
14,1.75,0.375,0.839,negative
37,4.625,0.375,0.922,negative
26,3.25,0.346,0.909,negative
28,3.5,0.46,0.79,negative
44,4.4,0.314,0.623,negative
12,1.2,0.4,0.933,negative
40,4,0.333,0.783,negative
14,2.333,0.56,0.929,negative
33,4.714,0.385,0.922,negative
9,1.125,0.361,0.722,negative
43,5.375,0.343,0.977,negative
13,1.625,0.413,1,negative
33,3,0.278,0.73,negative
37,4.625,0.392,0.753,negative
29,2.636,0.32,0.618,negative
50,6.25,0.405,0.993,negative
38,4.75,0.408,0.964,negative
26,3.25,0.409,0.933,negative
52,5.2,0.306,0.688,negative
39,6.5,0.393,0.927,negative
7,1.167,0.5,0.976,negative
261,21.75,0.207,0.564,negative
146,13.273,0.238,0.58,negative
19,2.375,0.355,0.954,negative
35,3.5,0.326,0.583,negative
57,7.125,0.309,0.838,negative
272,22.667,0.219,0.589,negative
26,2.364,0.262,0.804,negative
10,1.111,0.344,0.789,negative
28,3.111,0.317,0.976,negative
25,2.273,0.298,0.811,negative
8,1,0.391,1,negative
27,3.375,0.343,0.778,negative
8,1,0.406,0.953,negative
16,1.6,0.375,0.769,negative
19,1.9,0.3,0.905,negative
7,0.7,0.357,0.871,negative
13,1.3,0.315,0.915,negative
7,1.4,0.457,1,negative
10,1.667,0.433,0.867,negative
13,1.625,0.365,0.808,negative
42,5.25,0.375,0.899,negative
44,4.4,0.318,0.87,negative
26,2.6,0.273,0.815,negative
30,3,0.3,0.73,negative
27,2.455,0.303,0.596,negative
52,6.5,0.325,0.877,negative
76,9.5,0.314,0.711,negative
15,1.5,0.36,0.813,negative
18,1.8,0.294,0.911,negative
15,2.143,0.4,0.752,negative
35,5,0.339,0.833,negative
26,3.714,0.396,1,negative
8,1.143,0.429,0.964,negative
51,6.375,0.306,0.637,negative
114,12.667,0.272,0.741,negative
9,1.125,0.417,1,negative
29,3.625,0.345,0.681,negative
105,11.667,0.236,0.579,negative
101,11.222,0.256,0.688,negative
64,8,0.385,0.912,negative
32,3.2,0.306,0.788,negative
14,2,0.378,0.969,negative
61,6.1,0.29,0.657,negative
25,25,1,1,negative
21,3.5,0.246,0.254,positive
109,15.571,0.283,0.543,negative
221,36.833,0.268,0.536,negative
146,24.333,0.325,0.691,negative
10,2,0.5,0.84,negative
16,2,0.398,0.695,positive
19,2.375,0.388,0.664,negative
46,4.6,0.278,0.583,negative
25,3.125,0.355,0.78,negative
30,3.75,0.354,0.75,negative
14,1.75,0.482,0.759,negative
5,0.625,0.35,0.6,negative
34,0.5,0.224,0.526,positive
30,0.448,0.169,0.46,positive
12,2,0.486,0.944,negative
7,1,0.286,0.571,negative
7,1,0.265,0.612,negative
12,2.4,0.6,0.9,negative
261,23.727,0.233,0.637,negative
154,14,0.187,0.522,negative
155,15.5,0.275,0.803,negative
39,1.95,0.14,0.405,positive
17,2.833,0.137,0.627,positive
24,3,0.417,0.953,negative
41,4.1,0.276,0.693,negative
15,1.5,0.273,0.947,negative
12,1.2,0.35,0.867,negative
55,5.5,0.295,0.756,negative
6,0.857,0.405,0.929,negative
19,2.714,0.398,0.88,negative
8,1.143,0.482,1,negative
7,1,0.592,0.959,negative
29,3.625,0.444,1,negative
53,4.818,0.249,0.734,negative
19,2.111,0.298,0.737,negative
13,1.3,0.285,0.885,negative
144,14.4,0.256,0.625,negative
12,1.714,0.476,0.81,negative
2,0.286,0.857,0.857,negative
54,4.909,0.273,0.781,negative
51,5.1,0.28,0.814,negative
7,0.7,0.314,0.857,negative
37,3.7,0.327,0.954,negative
11,1.1,0.409,0.955,negative
6,3,0.583,0.917,negative
43,5.375,0.387,0.762,negative
28,3.5,0.442,0.795,negative
3,1,0.778,0.778,negative
7,7,1,1,negative
2,0.4,0.7,0.7,negative
2,0.5,0.875,0.875,negative
3,0.75,0.667,0.917,negative
2,0.286,0.714,0.714,negative
72,7.2,0.292,0.667,negative
150,15,0.252,0.585,negative
9,0.9,0.333,0.878,negative
34,3.4,0.321,0.853,negative
10,1,0.35,0.89,negative
9,1.125,0.375,0.681,negative
15,2.143,0.438,0.895,negative
30,3,0.33,0.843,negative
20,2.222,0.322,0.717,negative
13,1.444,0.368,1,negative
10,1.429,0.386,0.914,negative
20,2.857,0.4,1,negative
13,2.167,0.436,0.756,negative
15,3,0.507,0.787,negative
12,2.4,0.467,0.6,negative
13,2.6,0.462,0.677,negative
49,8.167,0.32,0.527,negative
17,2.833,0.451,0.745,negative
41,4.556,0.336,0.694,negative
14,1.556,0.278,1,negative
4,0.5,0.469,0.719,negative
39,4.875,0.378,0.962,negative
23,2.3,0.27,0.648,negative
16,2,0.328,0.961,negative
39,4.875,0.362,0.881,negative
20,4,0.47,0.73,negative
10,2.5,0.5,0.9,negative
10,2.5,0.6,0.8,negative
13,2.6,0.554,0.8,negative
14,2.8,0.329,0.5,negative
20,2.857,0.421,0.829,negative
17,3.4,0.576,0.953,negative
145,14.5,0.268,0.747,negative
62,6.2,0.265,0.656,negative
16,2,0.328,0.969,negative
24,3,0.297,0.865,negative
9,1.5,0.37,0.722,negative
261,26.1,0.259,0.767,negative
20,2.5,0.394,0.863,negative
39,3.9,0.295,0.908,negative
61,6.1,0.333,0.954,negative
14,7,0.464,0.536,positive
42,4.667,0.312,0.889,negative
20,0.541,0.131,0.193,positive
32,4,0.375,0.801,negative
14,2.333,0.512,1,negative
23,2.875,0.348,0.723,negative
25,0.735,0.256,0.534,positive
27,0.794,0.219,0.554,positive
43,1.194,0.117,0.183,positive
40,4.444,0.344,0.683,negative
14,1.75,0.411,0.991,negative
32,4,0.395,0.773,negative
31,3.1,0.316,0.752,negative
33,4.125,0.375,0.981,negative
20,2.5,0.406,0.906,negative
12,1.5,0.406,0.917,negative
29,1.813,0.144,0.496,positive
34,4.857,0.403,0.849,negative
109,9.909,0.234,0.62,negative
103,10.3,0.25,0.61,negative
91,10.111,0.161,0.44,negative
9,1,0.358,0.728,negative
12,1.5,0.375,0.927,negative
40,5,0.35,0.906,negative
57,5.7,0.326,0.695,negative
28,2.8,0.343,0.975,negative
8,0.8,0.313,0.9,negative
15,1.5,0.313,0.78,negative
3,0.5,0.556,0.556,negative
20,2.857,0.493,0.979,negative
20,2.857,0.457,0.857,negative
8,1.333,0.604,0.896,negative
3,0.6,0.6,0.6,negative
2,0.222,0.611,0.722,positive
2,0.4,0.7,0.7,negative
221,20.091,0.25,0.544,negative
35,5,0.445,0.771,negative
33,3.3,0.352,0.745,negative
7,0.875,0.5,0.786,negative
12,1.5,0.531,0.813,negative
16,2,0.422,0.852,negative
20,2.857,0.429,0.993,negative
4,0.571,0.5,1,negative
35,5,0.494,1,negative
33,3.667,0.357,0.63,negative
30,5,0.45,0.833,negative
26,4.333,0.519,0.955,negative
26,5.2,0.492,0.785,negative
22,4.4,0.536,0.909,negative
15,2.5,0.467,0.711,negative
19,3.8,0.505,0.8,negative
37,6.167,0.392,0.757,negative
11,2.2,0.6,0.818,negative
13,2.6,0.554,0.8,negative
14,2.8,0.443,0.743,negative
25,2.778,0.329,0.502,negative
10,1.25,0.35,0.763,negative
54,4.909,0.316,0.697,negative
29,2.9,0.303,0.731,negative
16,1.6,0.288,0.744,negative
39,3.9,0.344,0.59,negative
14,1.75,0.482,0.679,negative
12,1.5,0.458,0.667,negative
35,4.375,0.425,0.843,negative
9,1.125,0.361,0.819,negative
22,2.75,0.295,0.483,negative
36,4.5,0.299,0.531,negative
16,2.667,0.281,0.542,negative
31,3.875,0.351,0.839,negative
45,5.625,0.297,0.564,negative
23,4.6,0.504,0.783,negative
34,4.25,0.36,0.717,negative
12,1.5,0.396,0.99,negative
28,2.8,0.311,0.957,negative
41,4.1,0.356,0.956,negative
15,1.875,0.475,1,negative
12,1.5,0.438,1,negative
9,0.9,0.356,0.933,negative
36,3.6,0.367,0.789,negative
26,4.333,0.423,0.769,negative
24,6,0.573,0.958,negative
30,6,0.587,0.96,negative
71,8.875,0.289,0.574,negative
16,1.6,0.444,1,negative
14,1.4,0.371,0.886,negative
16,1.6,0.3,1,negative
15,1.5,0.3,1,negative
7,0.7,0.357,0.757,negative
74,7.4,0.303,0.708,negative
30,3.75,0.296,0.863,negative
51,5.1,0.337,0.773,negative
79,7.9,0.244,0.742,negative
127,11.545,0.266,0.686,negative
20,2,0.32,0.61,negative
20,2.857,0.464,0.9,negative
18,2,0.321,0.654,negative
35,3.5,0.311,0.72,negative
19,2.375,0.434,0.664,negative
64,5.818,0.25,0.597,negative
33,3.3,0.342,0.927,negative
16,1.6,0.338,0.888,negative
14,1.75,0.438,0.768,negative
76,7.6,0.322,0.689,negative
9,1.125,0.375,0.736,negative
21,2.625,0.435,0.917,negative
5,0.714,0.486,0.943,negative
7,1,0.347,0.633,negative
25,3.571,0.354,0.606,negative
53,5.889,0.335,0.602,negative
5,1,0.52,1,negative
14,2.8,0.557,0.871,negative
12,2,0.375,0.958,negative
20,4,0.54,0.95,negative
19,1.727,0.306,0.789,negative
59,7.375,0.307,0.775,negative
5,0.625,0.375,0.95,negative
6,0.75,0.333,0.979,negative
8,1,0.469,0.844,negative
41,4.1,0.302,0.69,negative
29,3.625,0.401,0.884,negative
19,2.375,0.454,1,negative
33,4.125,0.371,0.795,negative
6,0.857,0.5,1,negative
92,11.5,0.359,0.913,negative
10,2,0.56,0.96,negative
228,22.8,0.26,0.61,negative
18,1.8,0.311,0.706,negative
12,1.2,0.333,0.958,negative
18,1.8,0.294,0.883,negative
23,2.3,0.348,0.891,negative
24,3,0.318,0.974,negative
66,6.6,0.27,0.638,negative
62,8.857,0.392,0.871,negative
14,1.75,0.393,0.705,negative
7,1.4,0.571,1,negative
262,23.818,0.259,0.788,negative
15,1.875,0.458,0.908,negative
25,2.5,0.34,0.816,negative
7,0.875,0.482,0.946,negative
12,1.5,0.385,0.896,negative
13,1.625,0.471,1,negative
6,0.75,0.375,0.896,negative
30,3,0.357,0.87,negative
10,1,0.34,0.93,negative
12,1.5,0.396,0.969,negative
20,2.5,0.394,0.944,negative
16,2,0.383,0.742,negative
18,3,0.491,0.88,negative
4,0.667,0.583,1,negative
25,3.125,0.405,0.865,negative
24,3,0.318,0.688,negative
19,2.375,0.395,0.704,negative
8,1,0.438,0.813,negative
262,26.2,0.288,0.742,negative
39,4.875,0.423,0.955,negative
23,2.3,0.287,0.617,negative
27,3.857,0.402,0.746,negative
27,5.4,0.607,0.993,negative
20,2.857,0.436,0.736,negative
23,2.875,0.364,0.967,negative
20,2.5,0.425,1,negative
35,4.375,0.357,0.921,negative
30,3,0.333,0.93,negative
19,1.9,0.326,0.768,negative
46,4.6,0.317,0.683,negative
28,2.8,0.336,0.85,negative
41,5.125,0.378,0.945,negative
14,1.75,0.429,1,negative
33,3.3,0.345,0.779,negative
40,5,0.372,0.919,negative
20,2.857,0.464,1,negative
45,4.5,0.296,0.558,negative
18,3,0.444,0.991,negative
14,2.333,0.536,1,negative
4,0.8,0.7,1,negative
14,1.556,0.333,0.897,negative
60,7.5,0.335,0.915,negative
5,0.625,0.4,1,negative
41,4.1,0.278,0.632,negative
14,1.75,0.509,0.768,negative
23,2.875,0.451,0.832,negative
9,1.125,0.361,0.903,negative
12,1.5,0.385,0.948,negative
20,2.5,0.363,0.931,negative
16,2,0.359,0.781,negative
12,1.5,0.396,0.969,negative
14,1.75,0.384,0.795,negative
33,4.125,0.345,0.886,negative
46,4.6,0.3,0.604,negative
4,0.667,0.667,1,negative
49,6.125,0.413,0.76,negative
34,4.25,0.357,0.75,negative
10,1.667,0.483,0.933,negative
14,2.8,0.586,0.943,negative
261,23.727,0.243,0.524,negative
262,26.2,0.274,0.757,negative
260,26,0.282,0.737,negative
262,26.2,0.29,0.826,negative
11,1.375,0.477,0.966,negative
37,4.625,0.334,0.831,negative
24,3,0.26,0.672,negative
19,2.375,0.421,0.974,negative
33,4.125,0.326,0.848,negative
30,3,0.363,0.71,negative
7,0.875,0.482,0.946,negative
41,5.857,0.355,0.857,negative
30,3.75,0.342,0.896,negative
262,26.2,0.273,0.703,negative
53,6.625,0.347,0.767,negative
30,3.75,0.363,0.85,negative
18,2.25,0.438,0.979,negative
52,5.778,0.286,0.652,negative
29,2.9,0.29,0.803,negative
13,1.625,0.356,0.942,negative
9,1.125,0.361,0.792,negative
12,1.5,0.396,0.99,negative
22,2.2,0.309,0.582,negative
89,9.889,0.3,0.559,negative
26,2.6,0.35,0.819,negative
18,2,0.327,0.914,negative
4,0.444,0.444,1,negative
58,5.8,0.3,0.84,negative
18,2.25,0.389,0.931,negative
61,7.625,0.342,0.875,negative
19,2.375,0.428,0.961,negative
34,4.25,0.379,0.971,negative
27,2.7,0.367,0.83,negative
38,3.8,0.308,0.632,negative
12,1.5,0.479,1,negative
20,2.5,0.413,0.981,negative
16,2,0.422,0.992,negative
10,1.25,0.325,0.913,negative
22,2.75,0.398,0.818,negative
31,3.875,0.375,0.722,negative
34,3.4,0.303,0.815,negative
32,3.556,0.33,0.889,negative
25,3.125,0.415,1,negative
23,2.875,0.462,1,negative
12,1.5,0.417,0.927,negative
26,2.6,0.354,0.769,negative
261,23.727,0.251,0.661,negative
175,15.909,0.21,0.469,negative
40,5,0.363,0.806,negative
70,8.75,0.279,0.727,negative
262,26.2,0.281,0.691,negative
23,2.875,0.375,0.88,negative
39,4.875,0.369,0.99,negative
9,1.125,0.431,1,negative
10,1.25,0.363,0.913,negative
40,4,0.295,0.68,negative
14,2,0.5,1,negative
30,3.333,0.304,0.711,negative
25,3.571,0.434,1,negative
26,5.2,0.523,0.985,negative
12,1.5,0.427,0.906,negative
53,5.3,0.294,0.908,negative
99,9.9,0.264,0.774,negative
31,3.1,0.339,0.713,negative
9,0.9,0.3,0.778,negative
54,5.4,0.306,0.689,negative
50,6.25,0.378,0.915,negative
15,1.875,0.417,0.925,negative
35,4.375,0.393,0.918,negative
34,3.4,0.279,0.8,negative
16,2,0.344,0.898,negative
12,1.714,0.393,0.69,negative
24,3,0.438,0.839,negative
17,2.125,0.382,0.86,negative
19,2.375,0.388,0.809,negative
24,3,0.323,0.688,negative
31,3.1,0.329,0.952,negative
80,10,0.347,0.933,negative
15,1.667,0.244,0.83,negative
74,6.727,0.247,0.695,negative
39,3.9,0.308,0.721,negative
73,7.3,0.273,0.79,negative
33,4.125,0.356,0.705,negative
8,1.6,0.675,0.975,negative
4,0.667,0.583,0.792,negative
251,25.1,0.281,0.708,negative
52,5.2,0.298,0.752,negative
25,3.125,0.31,0.67,negative
9,1.125,0.375,0.986,negative
35,4.375,0.396,0.986,negative
17,2.125,0.419,0.956,negative
18,2.571,0.357,0.865,negative
38,5.429,0.353,0.902,negative
4,0.667,0.542,1,negative
21,3,0.313,0.667,negative
242,24.2,0.26,0.579,negative
63,6.3,0.298,0.795,negative
29,3.222,0.318,0.893,negative
5,0.625,0.425,1,negative
25,3.125,0.335,0.77,negative
9,1.125,0.389,0.708,negative
56,6.222,0.343,0.706,negative
14,2,0.286,1,negative
7,1.167,0.476,0.976,negative
23,3.833,0.377,0.862,negative
261,26.1,0.269,0.713,negative
262,23.818,0.242,0.618,negative
261,23.727,0.246,0.638,negative
7,0.875,0.429,1,negative
14,1.75,0.339,0.884,negative
52,5.2,0.294,0.675,negative
18,2.571,0.468,1,negative
17,2.125,0.441,0.978,negative
12,1.5,0.458,0.865,negative
23,2.875,0.353,0.826,negative
31,3.1,0.284,0.835,negative
13,1.625,0.452,0.971,negative
4,0.5,0.594,1,negative
13,1.625,0.423,0.923,negative
12,1.5,0.521,0.958,negative
41,4.1,0.324,0.81,negative
9,1,0.296,0.901,negative
22,2.75,0.375,0.909,negative
120,12,0.279,0.765,negative
64,7.111,0.177,0.479,negative
53,7.571,0.342,0.58,negative
33,4.125,0.436,0.886,negative
42,4.667,0.325,0.823,negative
13,1.857,0.429,0.945,negative
18,2.571,0.397,0.984,negative
19,2.714,0.451,0.97,negative
4,0.571,0.536,1,negative
20,2.857,0.407,0.929,negative
29,3.222,0.307,0.648,negative
46,5.111,0.316,0.857,negative
13,1.625,0.365,0.933,negative
12,1.5,0.385,0.698,negative
50,6.25,0.36,0.728,negative
9,1.286,0.365,0.698,negative
27,2.7,0.3,0.644,negative
41,5.857,0.422,1,negative
18,2,0.327,0.765,negative
7,1.4,0.686,1,negative
14,2.8,0.543,0.929,negative
27,5.4,0.548,1,negative
7,1.4,0.6,1,negative
15,3,0.547,0.947,negative
32,4,0.375,0.98,negative
5,0.625,0.525,1,negative
26,3.25,0.37,0.822,negative
25,3.125,0.38,0.795,negative
52,6.5,0.38,0.88,negative
15,1.875,0.425,0.925,negative
24,3,0.375,0.964,negative
22,2.75,0.426,1,negative
119,11.9,0.275,0.665,negative
34,3.4,0.303,0.8,negative
7,0.875,0.518,1,negative
63,7.875,0.333,0.734,negative
8,1.333,0.5,1,negative
7,1.167,0.5,1,negative
261,23.727,0.231,0.596,negative
15,1.875,0.458,0.95,negative
157,15.7,0.233,0.565,negative
171,17.1,0.126,0.452,negative
16,3.2,0.563,0.925,negative
108,13.5,0.348,0.868,negative
44,4.4,0.35,0.957,negative
24,3,0.385,0.969,negative
26,3.25,0.24,0.563,negative
52,5.2,0.269,0.85,negative
43,5.375,0.34,0.892,negative
5,0.625,0.475,1,negative
6,0.75,0.417,0.917,negative
9,1.125,0.389,0.792,negative
12,1.5,0.396,0.844,negative
20,2.857,0.429,1,negative
16,2.286,0.438,0.857,negative
36,3.6,0.264,0.711,negative
56,6.222,0.327,0.688,negative
7,1.167,0.452,0.833,negative
97,8.818,0.266,0.635,negative
9,0.9,0.344,0.856,negative
37,3.7,0.33,0.897,negative
14,1.4,0.314,0.9,negative
40,4,0.295,0.683,negative
41,4.1,0.266,0.539,negative
212,21.2,0.24,0.61,negative
45,4.5,0.282,0.718,negative
18,2.25,0.403,1,negative
38,4.75,0.339,0.766,negative
45,6.429,0.381,0.771,negative
16,2.667,0.49,0.844,negative
40,4.444,0.275,0.875,negative
20,2,0.375,0.855,negative
16,2,0.406,0.93,negative
21,2.625,0.417,0.958,negative
7,0.875,0.357,0.964,negative
4,0.5,0.406,0.781,negative
32,4,0.387,0.895,negative
23,2.3,0.343,0.791,negative
9,1.286,0.397,0.841,negative
33,3.667,0.36,0.818,negative
4,0.667,0.5,0.75,negative
262,23.818,0.251,0.677,negative
132,12,0.189,0.44,negative
168,21,0.32,0.909,negative
9,1.125,0.278,0.5,negative
31,3.875,0.347,0.734,negative
72,10.286,0.405,0.845,negative
14,1.75,0.42,0.786,negative
39,4.333,0.308,0.709,negative
23,2.3,0.37,0.83,negative
31,4.429,0.396,0.862,negative
14,2,0.408,0.939,negative
9,1.286,0.429,0.667,negative
33,4.125,0.375,0.83,negative
18,2.571,0.413,0.952,negative
3,0.429,0.571,1,negative
28,3.5,0.397,0.996,negative
16,2,0.367,0.969,negative
6,0.75,0.313,0.792,negative
39,3.9,0.31,0.779,negative
22,2.2,0.332,0.714,negative
262,23.818,0.238,0.57,negative
29,3.625,0.341,0.78,negative
45,4.5,0.296,0.584,negative
6,0.857,0.548,0.952,negative
31,4.429,0.461,0.922,negative
15,3,0.56,0.92,negative
261,26.1,0.264,0.679,negative
100,10,0.267,0.724,negative
93,9.3,0.268,0.784,negative
59,5.9,0.251,0.763,negative
78,7.8,0.255,0.751,negative
25,3.125,0.3,0.59,negative
43,4.3,0.256,0.707,negative
10,1.111,0.389,0.889,negative
3,0.375,0.5,1,negative
36,4.5,0.323,0.781,negative
18,2.25,0.174,0.458,negative
7,0.875,0.339,0.964,negative
14,1.75,0.402,1,negative
46,5.75,0.356,0.957,negative
22,3.143,0.396,1,negative
20,2.857,0.464,0.986,negative
48,6,0.354,0.865,negative
9,1.286,0.46,0.889,negative
