Sex,Length,Diameter,Whole_weight,Shucked_weight,Shell_weight,Class
I,0.535,0.4,0.657,0.2835,0.175,negative
I,0.54,0.43,0.836,0.3725,0.24,negative
I,0.54,0.425,0.742,0.32,0.25,negative
I,0.54,0.43,0.8195,0.3935,0.2295,negative
M,0.54,0.455,0.972,0.419,0.269,negative
I,0.54,0.42,0.6275,0.2505,0.235,negative
I,0.54,0.425,0.7205,0.2955,0.225,negative
I,0.54,0.425,0.686,0.3475,0.213,negative
I,0.545,0.4,0.686,0.3285,0.18,negative
I,0.545,0.375,0.543,0.2375,0.1725,negative
I,0.545,0.42,0.717,0.358,0.22,negative
M,0.55,0.435,0.7625,0.327,0.259,negative
I,0.55,0.425,0.639,0.269,0.217,negative
I,0.55,0.42,0.816,0.3995,0.23,negative
I,0.55,0.415,0.7815,0.373,0.2215,negative
I,0.55,0.425,0.7665,0.339,0.21,negative
I,0.555,0.395,0.5585,0.222,0.17,negative
I,0.555,0.435,0.765,0.3945,0.206,negative
I,0.555,0.46,0.9005,0.3845,0.2765,negative
I,0.56,0.445,0.8225,0.3685,0.236,negative
I,0.56,0.44,0.7235,0.349,0.2,negative
M,0.56,0.425,0.849,0.3265,0.2645,negative
I,0.565,0.42,0.743,0.31,0.231,negative
F,0.565,0.44,0.863,0.435,0.27,negative
M,0.565,0.44,0.802,0.3595,0.215,negative
M,0.565,0.43,0.831,0.4245,0.219,negative
F,0.57,0.45,0.7805,0.3345,0.21,negative
M,0.57,0.45,0.795,0.3385,0.245,negative
I,0.57,0.435,0.848,0.4,0.25,negative
I,0.57,0.43,0.833,0.354,0.2815,negative
I,0.57,0.445,0.867,0.3705,0.28,negative
I,0.57,0.445,0.7405,0.306,0.1825,negative
M,0.575,0.455,0.867,0.3765,0.268,negative
F,0.575,0.47,1.116,0.509,0.34,negative
I,0.575,0.425,0.7965,0.364,0.239,negative
I,0.575,0.45,0.78,0.3275,0.235,negative
M,0.575,0.47,0.985,0.3745,0.355,negative
F,0.575,0.465,0.9965,0.417,0.47,negative
I,0.575,0.445,0.8015,0.3475,0.25,negative
I,0.575,0.45,0.807,0.3615,0.254,negative
F,0.575,0.435,1.0305,0.4605,0.36,negative
M,0.575,0.445,0.839,0.4005,0.239,negative
F,0.58,0.435,0.834,0.428,0.23,negative
M,0.575,0.44,0.9615,0.483,0.275,negative
M,0.58,0.46,1.0335,0.469,0.295,negative
M,0.58,0.43,0.798,0.365,0.2285,negative
I,0.58,0.445,0.7095,0.303,0.235,negative
F,0.585,0.445,0.913,0.4305,0.253,negative
M,0.59,0.49,1.207,0.559,0.309,negative
I,0.59,0.45,1.022,0.428,0.265,negative
I,0.59,0.46,0.9015,0.419,0.26,negative
M,0.595,0.45,0.838,0.3965,0.217,negative
F,0.595,0.435,0.9,0.4175,0.265,negative
M,0.595,0.45,0.959,0.463,0.2535,negative
I,0.595,0.46,0.8335,0.377,0.235,negative
F,0.6,0.46,0.9735,0.427,0.3,negative
F,0.6,0.475,1.13,0.575,0.305,negative
M,0.6,0.48,0.9165,0.4135,0.2725,negative
I,0.6,0.48,0.9175,0.38,0.29,negative
F,0.6,0.48,1.0645,0.4495,0.325,negative
M,0.6,0.47,1.059,0.504,0.275,negative
M,0.6,0.47,1.194,0.5625,0.2635,negative
F,0.605,0.455,0.9775,0.468,0.275,negative
M,0.605,0.475,0.884,0.3835,0.27,negative
I,0.605,0.47,0.8025,0.379,0.22,negative
F,0.605,0.48,0.991,0.4735,0.24,negative
F,0.605,0.47,0.974,0.393,0.3345,negative
F,0.605,0.505,1.434,0.7285,0.431,negative
M,0.61,0.475,0.983,0.4565,0.266,negative
F,0.61,0.465,1.0725,0.4835,0.28,negative
F,0.61,0.485,1.2405,0.6025,0.3085,negative
M,0.61,0.47,1.022,0.449,0.2945,negative
F,0.61,0.475,1.1155,0.3835,0.379,negative
I,0.61,0.465,0.9225,0.436,0.26,negative
M,0.61,0.47,1.1185,0.5225,0.31,negative
F,0.61,0.485,1.2795,0.5735,0.355,negative
M,0.615,0.47,1.0175,0.473,0.28,negative
M,0.615,0.475,1.224,0.6035,0.311,negative
I,0.62,0.485,1.154,0.4935,0.315,negative
F,0.62,0.515,1.3255,0.6685,0.335,negative
M,0.62,0.515,1.221,0.535,0.395,negative
F,0.62,0.54,1.139,0.4995,0.357,negative
I,0.62,0.49,1.066,0.446,0.305,negative
F,0.62,0.48,1.2215,0.582,0.313,negative
I,0.62,0.47,0.8565,0.3595,0.295,negative
I,0.62,0.45,0.924,0.358,0.2965,negative
M,0.62,0.48,1.266,0.6285,0.309,negative
F,0.62,0.48,1.0405,0.464,0.3,negative
M,0.625,0.49,1.1165,0.4895,0.3325,negative
M,0.625,0.475,1.0845,0.5005,0.3105,negative
M,0.625,0.5,1.0985,0.4645,0.354,negative
I,0.625,0.47,1.1955,0.643,0.3145,negative
F,0.625,0.485,1.362,0.6765,0.3705,negative
I,0.625,0.485,1.044,0.438,0.278,negative
M,0.63,0.505,1.0915,0.4615,0.3,negative
F,0.63,0.5,1.1965,0.514,0.3995,negative
M,0.63,0.49,1.1745,0.5255,0.339,negative
M,0.63,0.485,1.233,0.6565,0.3035,negative
M,0.63,0.495,1.2695,0.605,0.328,negative
I,0.635,0.5,1.489,0.715,0.3615,negative
M,0.635,0.5,1.4345,0.611,0.418,negative
F,0.635,0.49,1.2435,0.5805,0.305,negative
F,0.635,0.49,1.2615,0.5385,0.38,negative
F,0.64,0.505,1.2235,0.5215,0.36,negative
M,0.64,0.515,1.247,0.5475,0.3685,negative
M,0.645,0.5,1.286,0.5645,0.386,negative
M,0.64,0.525,1.707,0.763,0.4435,negative
M,0.645,0.505,1.1605,0.519,0.335,negative
M,0.645,0.5,1.5595,0.741,0.3845,negative
M,0.645,0.51,1.4745,0.605,0.48,negative
M,0.645,0.51,1.226,0.5885,0.3745,negative
M,0.645,0.51,1.33,0.6665,0.317,negative
F,0.645,0.51,1.2415,0.5815,0.315,negative
M,0.645,0.5,1.3375,0.554,0.415,negative
F,0.645,0.51,1.363,0.573,0.36,negative
M,0.645,0.485,1.2215,0.5695,0.33,negative
F,0.645,0.48,1.371,0.6925,0.35,negative
F,0.65,0.495,1.337,0.615,0.335,negative
M,0.65,0.505,1.274,0.59,0.391,negative
M,0.65,0.525,1.488,0.665,0.378,negative
M,0.65,0.51,1.3835,0.6385,0.3665,negative
M,0.655,0.55,1.274,0.586,0.365,negative
F,0.655,0.51,1.043,0.4795,0.305,negative
F,0.655,0.505,1.3485,0.5935,0.425,negative
F,0.655,0.505,1.4405,0.688,0.363,negative
M,0.66,0.5,1.3195,0.667,0.341,negative
F,0.66,0.535,1.5175,0.711,0.415,negative
M,0.66,0.53,1.5505,0.6505,0.495,negative
M,0.66,0.51,1.6375,0.7685,0.3925,negative
M,0.665,0.525,1.443,0.6635,0.353,negative
M,0.665,0.505,1.289,0.6145,0.3665,negative
F,0.665,0.505,1.2915,0.631,0.32,negative
M,0.665,0.52,1.3725,0.606,0.395,negative
M,0.665,0.5,1.2975,0.6075,0.315,negative
M,0.67,0.505,1.2585,0.6255,0.308,negative
M,0.67,0.52,1.39,0.711,0.3,negative
F,0.67,0.52,1.32,0.5235,0.4275,negative
F,0.67,0.55,1.566,0.858,0.354,negative
F,0.67,0.54,1.619,0.74,0.465,negative
M,0.675,0.525,1.2835,0.572,0.3545,negative
F,0.675,0.51,1.382,0.6045,0.3965,negative
M,0.68,0.52,1.4535,0.592,0.4125,negative
F,0.68,0.51,1.6075,0.714,0.4705,negative
M,0.685,0.52,1.3735,0.7185,0.32,negative
F,0.7,0.535,1.773,0.6805,0.512,negative
F,0.685,0.565,1.638,0.7775,0.438,negative
F,0.69,0.55,1.569,0.687,0.46,negative
M,0.7,0.565,1.8565,0.8445,0.54,negative
F,0.705,0.545,1.58,0.6435,0.265,negative
M,0.71,0.575,2.009,0.9895,0.502,negative
F,0.71,0.57,1.9805,0.9925,0.48,negative
F,0.71,0.54,1.5805,0.802,0.435,negative
M,0.71,0.56,2.015,0.9215,0.566,negative
M,0.72,0.57,1.8275,0.919,0.485,negative
M,0.72,0.55,2.125,1.1455,0.511,negative
F,0.72,0.525,1.445,0.631,0.435,negative
F,0.725,0.565,2.1425,1.03,0.503,negative
F,0.73,0.56,1.9425,0.799,0.5655,negative
M,0.735,0.59,1.747,0.7275,0.557,negative
F,0.74,0.565,2.119,0.9655,0.482,negative
F,0.75,0.565,1.938,0.7735,0.575,negative
M,0.75,0.595,2.2205,1.083,0.63,negative
M,0.77,0.62,2.5155,1.1155,0.642,negative
M,0.775,0.63,2.7795,1.3485,0.578,negative
I,0.275,0.175,0.2315,0.096,0.0705,negative
I,0.375,0.245,0.394,0.166,0.1125,negative
I,0.435,0.3,0.5965,0.259,0.1645,negative
F,0.375,0.27,0.597,0.272,0.1675,negative
M,0.39,0.28,0.564,0.3035,0.143,negative
M,0.445,0.32,0.414,0.199,0.117,negative
I,0.455,0.335,0.422,0.229,0.1,negative
I,0.455,0.325,0.82,0.4005,0.211,negative
I,0.455,0.345,0.434,0.207,0.1215,negative
I,0.465,0.325,0.7615,0.362,0.209,negative
M,0.465,0.36,0.5795,0.295,0.12,negative
I,0.485,0.365,0.5205,0.195,0.182,negative
M,0.485,0.37,0.968,0.419,0.2365,negative
I,0.485,0.345,0.869,0.3085,0.319,negative
F,0.49,0.355,0.8795,0.3485,0.2825,negative
M,0.5,0.37,1.0615,0.494,0.296,negative
M,0.515,0.35,0.9225,0.4185,0.273,negative
M,0.515,0.395,1.007,0.472,0.252,negative
M,0.525,0.365,0.9605,0.438,0.276,negative
M,0.525,0.38,0.65,0.303,0.159,negative
F,0.535,0.425,0.771,0.3765,0.1795,negative
M,0.53,0.41,0.7545,0.3495,0.2105,negative
I,0.535,0.385,1.0835,0.4955,0.304,negative
I,0.545,0.42,0.8935,0.4235,0.228,negative
F,0.545,0.415,1.358,0.567,0.403,negative
F,0.545,0.385,1.1185,0.5425,0.2845,negative
F,0.55,0.38,1.205,0.543,0.3345,negative
M,0.57,0.455,1.02,0.4805,0.29,negative
M,0.55,0.42,1.3405,0.6325,0.344,negative
M,0.575,0.44,1.025,0.5075,0.2485,negative
I,0.575,0.45,0.8145,0.403,0.213,negative
F,0.58,0.43,1.48,0.6535,0.4155,negative
M,0.585,0.455,0.953,0.3945,0.258,negative
I,0.585,0.45,0.8915,0.3975,0.253,negative
M,0.6,0.495,1.3005,0.6195,0.3285,negative
M,0.6,0.465,1.038,0.4975,0.251,negative
M,0.605,0.475,1.2525,0.5575,0.343,negative
M,0.605,0.475,1.15,0.575,0.297,negative
F,0.61,0.475,1.1135,0.5195,0.3005,negative
F,0.615,0.455,1.1155,0.5045,0.315,negative
M,0.62,0.47,1.0865,0.511,0.2565,negative
M,0.625,0.495,1.254,0.5815,0.3185,negative
M,0.625,0.49,1.169,0.5275,0.344,negative
M,0.635,0.495,1.172,0.445,0.3475,negative
F,0.635,0.475,1.1845,0.533,0.291,negative
F,0.64,0.475,1.0725,0.4895,0.31,negative
M,0.645,0.5,1.3815,0.672,0.315,negative
M,0.65,0.525,1.6125,0.777,0.3965,negative
M,0.65,0.485,1.7395,0.5715,0.3075,negative
F,0.655,0.52,1.5475,0.713,0.466,negative
M,0.655,0.545,1.4245,0.6325,0.378,negative
F,0.665,0.515,1.3405,0.5595,0.4375,negative
F,0.675,0.53,1.4465,0.6775,0.389,negative
F,0.685,0.535,1.5845,0.7175,0.4215,negative
F,0.695,0.55,1.679,0.805,0.3965,negative
M,0.695,0.53,1.726,0.7625,0.455,negative
F,0.705,0.545,1.5395,0.6075,0.4645,negative
F,0.72,0.55,2.073,1.0715,0.5015,negative
M,0.72,0.56,1.5865,0.691,0.4425,negative
M,0.73,0.575,2.069,0.9285,0.643,negative
I,0.185,0.135,0.027,0.0105,0.009,negative
I,0.24,0.18,0.0555,0.0235,0.018,negative
I,0.31,0.215,0.1275,0.0565,0.036,negative
I,0.34,0.26,0.1885,0.0815,0.06,negative
I,0.35,0.265,0.2,0.09,0.06,negative
I,0.365,0.27,0.197,0.0815,0.065,negative
I,0.365,0.275,0.223,0.098,0.075,negative
I,0.365,0.27,0.2215,0.095,0.07,negative
I,0.39,0.31,0.2665,0.1185,0.081,negative
I,0.405,0.3,0.269,0.103,0.11,negative
I,0.41,0.315,0.2805,0.114,0.11,negative
I,0.415,0.31,0.2815,0.1245,0.085,negative
I,0.41,0.335,0.3305,0.1405,0.105,negative
I,0.415,0.31,0.2805,0.114,0.0975,negative
I,0.415,0.31,0.311,0.1125,0.115,negative
I,0.42,0.325,0.368,0.1675,0.1135,negative
I,0.43,0.34,0.3405,0.1395,0.12,negative
I,0.435,0.335,0.3245,0.135,0.098,negative
I,0.435,0.33,0.38,0.1515,0.11,negative
I,0.435,0.33,0.335,0.156,0.105,negative
I,0.435,0.345,0.3215,0.13,0.1185,negative
I,0.445,0.33,0.358,0.1525,0.1185,negative
I,0.465,0.37,0.445,0.1635,0.166,negative
I,0.47,0.375,0.487,0.196,0.135,negative
I,0.475,0.34,0.4535,0.203,0.1465,negative
I,0.485,0.36,0.5155,0.2465,0.147,negative
I,0.485,0.385,0.568,0.2505,0.154,negative
I,0.485,0.37,0.457,0.1885,0.15,negative
I,0.495,0.38,0.5095,0.2065,0.165,negative
I,0.495,0.375,0.494,0.181,0.191,negative
I,0.495,0.38,0.5,0.205,0.1505,negative
I,0.5,0.38,0.5605,0.28,0.15,negative
I,0.505,0.405,0.599,0.2245,0.225,negative
I,0.505,0.4,0.7045,0.334,0.207,negative
F,0.51,0.4,0.7005,0.347,0.195,negative
I,0.515,0.415,0.7125,0.285,0.245,negative
I,0.515,0.42,0.6725,0.2555,0.235,negative
M,0.515,0.385,0.5785,0.253,0.14,negative
I,0.52,0.41,0.5185,0.2165,0.184,negative
I,0.52,0.415,0.6375,0.308,0.168,negative
I,0.52,0.395,0.5805,0.2445,0.165,negative
I,0.52,0.385,0.581,0.2555,0.143,negative
I,0.52,0.38,0.6645,0.3285,0.1425,negative
I,0.525,0.415,0.596,0.2805,0.1695,negative
I,0.525,0.405,0.6965,0.3045,0.21,negative
I,0.53,0.43,0.677,0.298,0.23,negative
I,0.525,0.4,0.6095,0.248,0.175,negative
I,0.53,0.43,0.7245,0.321,0.24,negative
I,0.53,0.395,0.575,0.247,0.183,negative
I,0.53,0.405,0.632,0.2715,0.1875,negative
I,0.535,0.455,1.0015,0.53,0.244,negative
I,0.54,0.395,0.6555,0.2705,0.192,negative
F,0.54,0.425,0.9455,0.3675,0.295,negative
I,0.54,0.39,0.6255,0.2525,0.19,negative
I,0.545,0.425,0.8145,0.305,0.244,negative
I,0.545,0.43,0.687,0.2615,0.25,negative
I,0.55,0.435,0.7995,0.295,0.238,negative
I,0.55,0.45,0.804,0.3375,0.23,negative
M,0.555,0.435,0.7495,0.341,0.214,negative
M,0.555,0.41,0.599,0.2345,0.194,negative
M,0.555,0.4,0.7075,0.332,0.18,negative
I,0.555,0.45,0.738,0.304,0.22,negative
M,0.555,0.455,0.837,0.382,0.235,negative
I,0.56,0.445,0.832,0.3455,0.279,negative
F,0.565,0.445,0.8305,0.3135,0.23,negative
M,0.565,0.415,0.667,0.302,0.185,negative
M,0.565,0.455,0.9355,0.421,0.26,negative
I,0.565,0.435,0.8445,0.3975,0.255,negative
M,0.565,0.45,0.895,0.415,0.246,negative
I,0.565,0.46,0.8715,0.3755,0.25,negative
M,0.57,0.46,1.0005,0.454,0.265,negative
M,0.57,0.455,0.832,0.3585,0.277,negative
M,0.57,0.44,0.9415,0.3805,0.283,negative
M,0.57,0.415,0.88,0.4275,0.238,negative
F,0.57,0.44,0.803,0.382,0.234,negative
M,0.575,0.45,0.785,0.318,0.2265,negative
M,0.575,0.45,0.9765,0.495,0.235,negative
M,0.575,0.435,0.992,0.432,0.239,negative
M,0.575,0.455,1.013,0.4685,0.295,negative
M,0.575,0.445,0.876,0.3795,0.27,negative
F,0.575,0.465,1.099,0.4735,0.35,negative
I,0.575,0.45,0.8715,0.45,0.225,negative
I,0.575,0.45,0.8245,0.3375,0.239,negative
F,0.575,0.43,0.7955,0.3485,0.22,negative
M,0.575,0.475,0.857,0.3665,0.269,negative
F,0.58,0.45,0.8265,0.4035,0.225,negative
F,0.58,0.5,0.925,0.37,0.3005,negative
M,0.58,0.44,1.0465,0.518,0.2795,negative
I,0.58,0.44,0.7905,0.3525,0.242,negative
M,0.58,0.44,0.8295,0.3365,0.2485,negative
M,0.595,0.455,0.886,0.4315,0.223,negative
M,0.6,0.46,1.1805,0.456,0.329,negative
F,0.6,0.47,0.97,0.4655,0.264,negative
M,0.6,0.475,0.99,0.386,0.3105,negative
F,0.6,0.465,1.133,0.466,0.298,negative
I,0.605,0.49,1.071,0.482,0.352,negative
F,0.605,0.455,0.862,0.334,0.3,negative
M,0.605,0.47,1.1155,0.479,0.321,negative
M,0.61,0.48,1.031,0.4375,0.27,negative
F,0.61,0.46,1.1185,0.478,0.2985,negative
F,0.61,0.46,0.957,0.4255,0.265,negative
F,0.61,0.47,1.1785,0.566,0.294,negative
M,0.615,0.47,1.0285,0.4435,0.285,negative
M,0.615,0.47,1.0875,0.4975,0.2685,negative
F,0.615,0.495,1.255,0.5815,0.3225,negative
M,0.615,0.495,1.219,0.564,0.3885,negative
M,0.62,0.49,1.035,0.44,0.285,negative
M,0.62,0.49,1.195,0.4605,0.355,negative
F,0.62,0.495,1.062,0.372,0.34,negative
M,0.62,0.495,1.5145,0.579,0.5195,negative
M,0.62,0.47,1.309,0.587,0.325,negative
M,0.62,0.485,1.0295,0.425,0.335,negative
M,0.625,0.495,1.0485,0.487,0.3215,negative
M,0.625,0.515,1.331,0.5725,0.361,negative
M,0.625,0.505,1.1565,0.52,0.3535,negative
F,0.625,0.445,1.09,0.46,0.304,negative
F,0.625,0.52,1.354,0.4845,0.375,negative
F,0.625,0.47,0.984,0.475,0.265,negative
M,0.63,0.49,1.2525,0.63,0.289,negative
F,0.635,0.485,1.2695,0.5635,0.3395,negative
F,0.635,0.52,1.3405,0.5065,0.412,negative
F,0.635,0.505,1.2895,0.594,0.345,negative
M,0.635,0.5,1.273,0.6535,0.365,negative
M,0.64,0.53,1.1895,0.4765,0.35,negative
F,0.64,0.48,1.1145,0.508,0.34,negative
F,0.64,0.515,1.3115,0.4945,0.41,negative
I,0.64,0.49,1.1,0.488,0.2925,negative
M,0.64,0.49,1.1285,0.477,0.34,negative
F,0.64,0.485,1.4195,0.6735,0.3255,negative
M,0.635,0.515,1.229,0.5055,0.3535,negative
M,0.635,0.525,1.195,0.5435,0.335,negative
F,0.645,0.51,1.6195,0.7815,0.4675,negative
M,0.645,0.49,1.32,0.6525,0.3385,negative
F,0.645,0.52,1.5535,0.616,0.474,negative
F,0.655,0.515,1.412,0.6195,0.497,negative
I,0.65,0.52,1.238,0.5495,0.3305,negative
F,0.65,0.51,1.189,0.483,0.3645,negative
F,0.65,0.51,1.375,0.531,0.3985,negative
M,0.66,0.51,1.218,0.5055,0.37,negative
F,0.665,0.5,1.2475,0.4625,0.3595,negative
F,0.655,0.525,1.348,0.5855,0.394,negative
M,0.665,0.515,1.2695,0.5115,0.436,negative
M,0.655,0.52,1.1445,0.53,0.348,negative
M,0.665,0.525,1.429,0.6715,0.4,negative
F,0.66,0.535,1.4415,0.5925,0.49,negative
M,0.68,0.54,1.623,0.7165,0.4715,negative
M,0.68,0.54,1.534,0.671,0.384,negative
M,0.685,0.535,1.3845,0.6615,0.4075,negative
M,0.69,0.55,1.6915,0.6655,0.5,negative
F,0.675,0.51,1.473,0.6295,0.4245,negative
M,0.675,0.515,1.312,0.556,0.4115,negative
M,0.695,0.545,1.5715,0.6645,0.4505,negative
F,0.7,0.575,1.773,0.605,0.538,negative
F,0.67,0.53,1.4015,0.643,0.416,negative
M,0.7,0.55,1.4405,0.6565,0.375,negative
M,0.7,0.55,1.6245,0.675,0.535,negative
F,0.705,0.535,1.866,0.929,0.4395,negative
F,0.72,0.575,1.6705,0.732,0.501,negative
M,0.72,0.565,2.081,1.0815,0.503,negative
F,0.725,0.57,1.6195,0.744,0.488,negative
F,0.75,0.55,1.8325,0.83,0.44,negative
M,0.76,0.605,2.173,0.801,0.646,negative
I,0.135,0.13,0.029,0.0125,0.008,negative
I,0.16,0.11,0.0195,0.0075,0.006,negative
I,0.21,0.15,0.0465,0.017,0.015,negative
I,0.28,0.21,0.1195,0.053,0.03,negative
I,0.28,0.2,0.0895,0.036,0.03,negative
I,0.285,0.215,0.0935,0.031,0.03,negative
I,0.29,0.21,0.1115,0.048,0.03,negative
I,0.29,0.21,0.1195,0.056,0.03,negative
I,0.29,0.21,0.097,0.0375,0.03,negative
I,0.32,0.24,0.133,0.0585,0.041,negative
I,0.325,0.25,0.1745,0.0875,0.04,negative
I,0.335,0.25,0.1695,0.0695,0.0495,negative
I,0.35,0.235,0.17,0.0725,0.0495,negative
I,0.35,0.25,0.1605,0.0715,0.046,negative
I,0.355,0.27,0.271,0.1425,0.0735,negative
I,0.36,0.27,0.2185,0.1065,0.062,negative
I,0.36,0.27,0.196,0.0905,0.053,negative
I,0.375,0.28,0.226,0.105,0.065,negative
I,0.375,0.275,0.22,0.109,0.0605,negative
I,0.395,0.29,0.3,0.158,0.078,negative
I,0.405,0.25,0.2875,0.128,0.0805,negative
I,0.415,0.325,0.316,0.1385,0.0925,negative
I,0.425,0.315,0.3675,0.1865,0.0985,negative
I,0.43,0.32,0.3675,0.1675,0.105,negative
I,0.435,0.325,0.346,0.159,0.095,negative
I,0.46,0.35,0.4675,0.2125,0.1375,negative
M,0.45,0.33,0.4955,0.2575,0.129,negative
M,0.47,0.365,0.522,0.2395,0.145,negative
I,0.47,0.375,0.441,0.167,0.145,negative
I,0.475,0.365,0.5185,0.268,0.1365,negative
M,0.505,0.39,0.653,0.3315,0.167,negative
M,0.505,0.395,0.5915,0.288,0.185,negative
M,0.505,0.385,0.4825,0.21,0.1535,negative
I,0.51,0.455,0.6855,0.2875,0.2035,negative
M,0.515,0.4,0.6335,0.288,0.168,negative
M,0.525,0.41,0.6875,0.3435,0.1765,negative
F,0.53,0.43,0.741,0.325,0.196,negative
F,0.53,0.405,0.6355,0.2635,0.185,negative
M,0.545,0.44,0.8395,0.356,0.2385,negative
F,0.55,0.47,0.9205,0.381,0.2675,negative
M,0.565,0.445,0.9255,0.4345,0.2475,negative
F,0.56,0.41,0.8215,0.342,0.253,negative
M,0.58,0.46,1.063,0.513,0.2625,negative
F,0.57,0.435,0.8295,0.3875,0.245,negative
M,0.605,0.445,0.982,0.4295,0.295,negative
M,0.59,0.465,1.115,0.5165,0.275,negative
M,0.61,0.49,1.112,0.465,0.341,negative
F,0.6,0.45,0.837,0.37,0.2425,negative
I,0.255,0.19,0.086,0.04,0.025,negative
I,0.28,0.215,0.132,0.072,0.033,negative
I,0.285,0.215,0.1075,0.051,0.027,negative
I,0.32,0.255,0.1745,0.072,0.057,negative
I,0.325,0.24,0.152,0.0565,0.054,negative
I,0.385,0.28,0.2755,0.1305,0.0725,negative
F,0.625,0.515,1.3485,0.5255,0.3925,negative
M,0.66,0.515,1.5655,0.7345,0.386,negative
F,0.4,0.305,0.368,0.173,0.105,negative
I,0.405,0.31,0.312,0.138,0.087,negative
I,0.27,0.195,0.1065,0.0475,0.0285,negative
I,0.395,0.295,0.293,0.14,0.082,negative
I,0.415,0.305,0.336,0.165,0.0805,negative
I,0.42,0.315,0.355,0.1895,0.087,negative
I,0.44,0.305,0.379,0.162,0.11,negative
I,0.445,0.32,0.378,0.152,0.12,negative
M,0.45,0.35,0.4655,0.2075,0.135,negative
F,0.455,0.355,0.594,0.332,0.1335,negative
M,0.46,0.345,0.4935,0.2435,0.132,negative
M,0.465,0.36,0.4955,0.2665,0.121,negative
I,0.48,0.35,0.5465,0.2735,0.158,negative
M,0.485,0.39,0.617,0.25,0.1635,negative
F,0.475,0.38,0.689,0.3165,0.1955,negative
I,0.49,0.37,0.538,0.271,0.139,negative
M,0.5,0.39,0.7815,0.361,0.2385,negative
M,0.505,0.385,0.6435,0.3135,0.1515,negative
F,0.5,0.38,0.6355,0.277,0.1785,negative
M,0.525,0.385,0.5115,0.246,0.1455,negative
I,0.465,0.355,0.4325,0.2005,0.1275,negative
M,0.46,0.345,0.4595,0.235,0.116,negative
M,0.535,0.42,0.738,0.355,0.1795,negative
F,0.535,0.42,0.699,0.3125,0.2035,negative
F,0.54,0.385,0.7655,0.3265,0.2365,negative
F,0.54,0.42,0.7505,0.368,0.1845,negative
M,0.55,0.41,0.8705,0.4455,0.213,negative
M,0.58,0.45,0.8685,0.418,0.2605,negative
F,0.58,0.435,0.839,0.3485,0.192,negative
F,0.565,0.44,0.83,0.393,0.238,negative
F,0.585,0.485,1.079,0.4145,0.356,negative
M,0.595,0.465,0.919,0.4335,0.262,negative
F,0.6,0.47,1.1345,0.492,0.3375,negative
I,0.55,0.42,0.668,0.2925,0.209,negative
F,0.545,0.43,0.844,0.3945,0.231,negative
M,0.61,0.48,1.2435,0.5575,0.372,negative
M,0.645,0.495,1.2095,0.603,0.339,negative
M,0.65,0.5,1.238,0.6165,0.32,negative
F,0.665,0.525,1.644,0.818,0.4275,negative
M,0.685,0.55,1.7725,0.813,0.49,negative
F,0.705,0.57,1.761,0.747,0.488,negative
F,0.69,0.54,1.2525,0.73,0.462,negative
F,0.62,0.49,1.056,0.493,0.2725,negative
F,0.72,0.575,2.1,0.8565,0.602,negative
F,0.61,0.43,0.909,0.438,0.22,negative
M,0.775,0.57,2.032,0.735,0.6585,negative
F,0.505,0.39,0.66,0.3045,0.175,negative
F,0.73,0.555,1.6895,0.6555,0.4935,negative
M,0.53,0.425,0.7455,0.2995,0.245,negative
F,0.505,0.385,0.616,0.243,0.21,negative
M,0.72,0.585,1.914,0.9155,0.479,negative
F,0.71,0.5,1.3165,0.6835,0.28,negative
M,0.415,0.3,0.3355,0.1545,0.095,negative
M,0.425,0.33,0.361,0.134,0.125,negative
M,0.47,0.35,0.4775,0.1885,0.175,negative
I,0.37,0.29,0.25,0.1025,0.085,negative
F,0.4,0.31,0.3465,0.1475,0.115,negative
M,0.5,0.38,0.66,0.2655,0.215,positive
I,0.41,0.31,0.315,0.124,0.095,negative
M,0.5,0.39,0.651,0.273,0.22,negative
I,0.405,0.305,0.2825,0.114,0.095,negative
F,0.49,0.385,0.5395,0.2175,0.165,negative
F,0.675,0.55,1.6885,0.562,0.6,negative
M,0.665,0.535,2.1835,0.7535,0.885,negative
M,0.62,0.49,1.2105,0.5185,0.335,negative
I,0.325,0.25,0.166,0.076,0.045,negative
I,0.455,0.355,0.452,0.2165,0.125,negative
M,0.525,0.405,0.7185,0.3265,0.175,negative
I,0.385,0.29,0.232,0.0855,0.08,negative
I,0.13,0.095,0.0105,0.005,0.0035,negative
I,0.18,0.13,0.0275,0.0125,0.009,negative
I,0.31,0.225,0.1445,0.0675,0.045,negative
F,0.375,0.29,0.282,0.1405,0.08,negative
M,0.375,0.29,0.276,0.1175,0.085,negative
I,0.455,0.37,0.433,0.201,0.145,negative
F,0.48,0.38,0.608,0.2705,0.185,negative
M,0.425,0.325,0.3295,0.1365,0.11,negative
F,0.435,0.35,0.4585,0.192,0.13,negative
I,0.475,0.36,0.4555,0.177,0.145,negative
F,0.29,0.21,0.275,0.113,0.035,negative
M,0.585,0.48,1.04,0.434,0.285,negative
M,0.595,0.455,1.041,0.416,0.365,negative
M,0.47,0.375,0.4265,0.1685,0.15,negative
M,0.62,0.51,1.1505,0.4375,0.4,negative
M,0.595,0.47,0.8915,0.359,0.245,negative
M,0.585,0.455,0.97,0.462,0.295,negative
I,0.4,0.31,0.127,0.106,0.085,negative
F,0.52,0.41,0.6985,0.2945,0.215,negative
